Index	Wastewater Treatment Plant	County	Date	Population Served	Viral Gene Copies Per Person	Viral Gene Copies/L
949	Charlotte 1	Mecklenburg	7/31/2021	68,685	24,594,541	96,177
950	Charlotte 1	Mecklenburg	7/27/2021	68,685	13,372,372	50,867
951	Charlotte 1	Mecklenburg	7/24/2021	68,685	5,943,035	22,798
952	Charlotte 1	Mecklenburg	7/20/2021	68,685	6,458,333	15,379
953	Charlotte 1	Mecklenburg	7/13/2021	68,685	4,330,933	16,863
954	Charlotte 1	Mecklenburg	7/10/2021	68,685	5,198,956	19,944
955	Charlotte 1	Mecklenburg	7/3/2021	68,685	2,223,511	8,828
956	Charlotte 1	Mecklenburg	6/29/2021	68,685	275,125	0
957	Charlotte 1	Mecklenburg	6/26/2021	68,685	279,357	0
958	Charlotte 1	Mecklenburg	6/21/2021	68,685	1,047,673	3,969
959	Charlotte 1	Mecklenburg	6/18/2021	68,685	3,775,860	14,992
960	Charlotte 1	Mecklenburg	6/14/2021	68,685	824,861	3,092
961	Charlotte 1	Mecklenburg	6/11/2021	68,685	1,193,893	4,541
962	Charlotte 1	Mecklenburg	6/7/2021	68,685	80,399	0
963	Charlotte 1	Mecklenburg	6/4/2021	68,685	857,207	3,240
964	Charlotte 1	Mecklenburg	5/28/2021	68,685	79,089	0
965	Charlotte 1	Mecklenburg	5/26/2021	68,685	376,261	0
966	Charlotte 1	Mecklenburg	5/24/2021	68,685	293,869	0
967	Charlotte 1	Mecklenburg	5/19/2021	68,685	1,773,038	6,633
968	Charlotte 1	Mecklenburg	5/17/2021	68,685	1,043,662	3,857
969	Charlotte 1	Mecklenburg	5/12/2021	68,685	415,594	0
970	Charlotte 1	Mecklenburg	5/10/2021	68,685	1,515,858	5,557
971	Charlotte 1	Mecklenburg	5/5/2021	68,685	5,904,451	16,636
972	Charlotte 1	Mecklenburg	5/3/2021	68,685	3,178,587	11,581
973	Charlotte 1	Mecklenburg	4/28/2021	68,685	6,917,896	25,256
974	Charlotte 1	Mecklenburg	4/26/2021	68,685	1,418,537	5,087
975	Charlotte 1	Mecklenburg	4/21/2021	68,685	1,451,615	5,268
976	Charlotte 1	Mecklenburg	4/19/2021	68,685	1,974,063	6,928
977	Charlotte 1	Mecklenburg	4/14/2021	68,685	5,192,259	18,473
978	Charlotte 1	Mecklenburg	4/7/2021	68,685	3,769,763	13,029
979	Charlotte 1	Mecklenburg	4/5/2021	68,685	3,539,096	12,093
980	Charlotte 1	Mecklenburg	3/31/2021	68,685	8,808,800	26,999
981	Charlotte 1	Mecklenburg	3/29/2021	68,685	5,762,066	14,361
982	Charlotte 1	Mecklenburg	3/24/2021	68,685	8,685,312	30,075
983	Charlotte 1	Mecklenburg	3/22/2021	68,685	3,986,515	12,757
984	Charlotte 1	Mecklenburg	3/17/2021	68,685	4,730,558	13,165
985	Charlotte 1	Mecklenburg	3/15/2021	68,685	6,730,204	23,851
986	Charlotte 1	Mecklenburg	3/10/2021	68,685	3,270,030	11,726
987	Charlotte 1	Mecklenburg	3/8/2021	68,685	2,911,428	10,238
988	Charlotte 1	Mecklenburg	3/3/2021	68,685	7,266,948	25,212
989	Charlotte 1	Mecklenburg	3/1/2021	68,685	3,677,150	11,543
990	Charlotte 1	Mecklenburg	2/24/2021	68,685	12,542,426	41,079
991	Charlotte 1	Mecklenburg	2/22/2021	68,685	5,897,858	18,941
992	Charlotte 1	Mecklenburg	2/17/2021	68,685	8,482,459	21,708
993	Charlotte 1	Mecklenburg	2/15/2021	68,685	13,817,940	37,533
994	Charlotte 1	Mecklenburg	2/10/2021	68,685	16,289,931	57,282
995	Charlotte 1	Mecklenburg	2/8/2021	68,685	25,237,197	73,739
996	Charlotte 1	Mecklenburg	2/3/2021	68,685	14,310,069	51,113
997	Charlotte 1	Mecklenburg	2/1/2021	68,685	3,178,201	8,646
998	Charlotte 1	Mecklenburg	1/27/2021	68,685	13,312,169	40,528
999	Charlotte 1	Mecklenburg	1/25/2021	68,685	11,100,638	42,764
1,000	Charlotte 1	Mecklenburg	1/20/2021	68,685	11,789,960	47,329
1,001	Charlotte 1	Mecklenburg	1/12/2021	68,685	19,890,842	72,327
1,002	Charlotte 1	Mecklenburg	1/11/2021	68,685	11,486,856	41,110
1,003	Charlotte 1	Mecklenburg	1/6/2021	68,685	25,494,836	96,374
1,004	Charlotte 1	Mecklenburg	1/5/2021	68,685	16,458,455	59,967
1,005	Charlotte 2	Mecklenburg	5/16/2023	182,501	9,631,350	28,108
1,006	Charlotte 2	Mecklenburg	5/13/2023	182,501	20,131,470	57,876
1,007	Charlotte 2	Mecklenburg	5/9/2023	182,501	9,916,673	27,509
1,008	Charlotte 2	Mecklenburg	5/6/2023	182,501	44,341,741	122,932
1,009	Charlotte 2	Mecklenburg	4/29/2023	182,501	38,907,344	89,622
1,010	Charlotte 2	Mecklenburg	4/25/2023	182,501	13,045,842	40,448
1,011	Charlotte 2	Mecklenburg	4/22/2023	182,501	15,461,424	45,985
1,012	Charlotte 2	Mecklenburg	4/18/2023	182,501	5,212,544	13,089
1,013	Charlotte 2	Mecklenburg	4/15/2023	182,501	21,361,136	51,390
1,014	Charlotte 2	Mecklenburg	4/11/2023	182,501	6,481,231	17,408
1,015	Charlotte 2	Mecklenburg	4/4/2023	182,501	13,891,666	41,703
1,016	Charlotte 2	Mecklenburg	4/1/2023	182,501	21,022,812	51,738
1,017	Charlotte 2	Mecklenburg	3/28/2023	182,501	15,516,730	42,170
1,018	Charlotte 2	Mecklenburg	3/25/2023	182,501	21,155,084	59,890
1,019	Charlotte 2	Mecklenburg	3/21/2023	182,501	3,311,491	10,587
1,020	Charlotte 2	Mecklenburg	3/18/2023	182,501	2,228,833	5,704
1,021	Charlotte 2	Mecklenburg	3/14/2023	182,501	5,438,501	15,000
1,022	Charlotte 2	Mecklenburg	3/11/2023	182,501	8,403,322	25,822
1,023	Charlotte 2	Mecklenburg	3/7/2023	182,501	4,030,588	12,369
1,024	Charlotte 2	Mecklenburg	3/4/2023	182,501	13,935,107	37,118
1,025	Charlotte 2	Mecklenburg	2/25/2023	182,501	8,788,241	26,058
1,026	Charlotte 2	Mecklenburg	2/22/2023	182,501	8,110,505	23,598
1,027	Charlotte 2	Mecklenburg	2/18/2023	182,501	13,849,804	36,708
1,028	Charlotte 2	Mecklenburg	2/11/2023	182,501	20,675,835	60,930
1,029	Charlotte 2	Mecklenburg	2/7/2023	182,501	12,110,618	27,170
1,030	Charlotte 2	Mecklenburg	2/4/2023	182,501	5,616,892	12,445
1,031	Charlotte 2	Mecklenburg	1/31/2023	182,501	30,798,441	68,648
1,032	Charlotte 2	Mecklenburg	1/28/2023	182,501	22,999,648	64,807
1,033	Charlotte 2	Mecklenburg	1/24/2023	182,501	4,475,624	16,871
1,034	Charlotte 2	Mecklenburg	1/21/2023	182,501	14,702,770	45,497
1,035	Charlotte 2	Mecklenburg	1/14/2023	182,501	14,525,520	42,623
1,036	Charlotte 2	Mecklenburg	1/10/2023	182,501	19,079,816	55,481
1,037	Charlotte 2	Mecklenburg	1/7/2023	182,501	16,804,110	62,320
1,038	Charlotte 2	Mecklenburg	12/31/2022	182,501	89,281,945	258,215
1,039	Charlotte 2	Mecklenburg	12/24/2022	182,501	76,723,852	163,095
1,040	Charlotte 2	Mecklenburg	12/20/2022	182,501	29,883,999	68,739
1,041	Charlotte 2	Mecklenburg	12/17/2022	182,501	10,674,718	34,750
1,042	Charlotte 2	Mecklenburg	12/13/2022	182,501	8,088,897	24,745
1,043	Charlotte 2	Mecklenburg	12/10/2022	182,501	10,151,340	27,235
1,044	Charlotte 2	Mecklenburg	12/6/2022	182,501	20,709,461	60,622
1,045	Charlotte 2	Mecklenburg	12/3/2022	182,501	8,614,605	20,591
1,046	Charlotte 2	Mecklenburg	11/29/2022	182,501	9,375,814	24,960
1,047	Charlotte 2	Mecklenburg	11/22/2022	182,501	13,094,372	41,533
1,048	Charlotte 2	Mecklenburg	11/19/2022	182,501	9,939,519	30,484
1,049	Charlotte 2	Mecklenburg	11/15/2022	182,501	9,790,698	30,851
1,050	Charlotte 2	Mecklenburg	11/8/2022	182,501	3,026,662	8,930
1,051	Charlotte 2	Mecklenburg	11/5/2022	182,501	7,191,660	23,084
1,052	Charlotte 2	Mecklenburg	11/1/2022	182,501	7,539,891	24,299
1,053	Charlotte 2	Mecklenburg	10/29/2022	182,501	29,139,282	96,954
1,054	Charlotte 2	Mecklenburg	10/25/2022	182,501	8,926,743	29,417
1,055	Charlotte 2	Mecklenburg	10/22/2022	182,501	8,610,931	27,769
1,056	Charlotte 2	Mecklenburg	10/18/2022	182,501	5,518,751	18,187
1,057	Charlotte 2	Mecklenburg	10/15/2022	182,501	8,338,418	26,944
1,058	Charlotte 2	Mecklenburg	10/11/2022	182,501	6,009,503	20,303
1,059	Charlotte 2	Mecklenburg	10/8/2022	182,501	7,035,671	22,508
1,060	Charlotte 2	Mecklenburg	10/4/2022	182,501	6,871,908	22,976
1,061	Charlotte 2	Mecklenburg	10/1/2022	182,501	10,229,875	35,791
1,062	Charlotte 2	Mecklenburg	9/27/2022	182,501	7,586,561	27,214
1,063	Charlotte 2	Mecklenburg	9/24/2022	182,501	14,680,279	49,356
1,064	Charlotte 2	Mecklenburg	9/20/2022	182,501	12,130,659	41,508
1,065	Charlotte 2	Mecklenburg	9/17/2022	182,501	11,587,161	39,846
1,066	Charlotte 2	Mecklenburg	9/13/2022	182,501	11,232,915	33,492
1,067	Charlotte 2	Mecklenburg	9/10/2022	182,501	26,329,096	91,652
1,068	Charlotte 2	Mecklenburg	9/3/2022	182,501	11,942,591	40,835
1,069	Charlotte 2	Mecklenburg	8/30/2022	182,501	8,839,711	29,031
1,070	Charlotte 2	Mecklenburg	8/27/2022	182,501	9,544,112	31,668
1,071	Charlotte 2	Mecklenburg	8/23/2022	182,501	10,002,774	32,806
1,072	Charlotte 2	Mecklenburg	8/20/2022	182,501	15,774,718	51,387
1,073	Charlotte 2	Mecklenburg	8/16/2022	182,501	18,878,797	65,670
1,074	Charlotte 2	Mecklenburg	8/13/2022	182,501	22,546,375	74,452
1,075	Charlotte 2	Mecklenburg	8/9/2022	182,501	20,053,906	65,327
1,076	Charlotte 2	Mecklenburg	8/6/2022	182,501	14,204,696	42,642
1,077	Charlotte 2	Mecklenburg	8/2/2022	182,501	41,112,456	120,934
1,078	Charlotte 2	Mecklenburg	7/30/2022	182,501	38,446,778	119,896
1,079	Charlotte 2	Mecklenburg	7/26/2022	182,501	47,544,117	154,252
1,080	Charlotte 2	Mecklenburg	7/23/2022	182,501	22,111,795	70,975
1,081	Charlotte 2	Mecklenburg	7/19/2022	182,501	20,346,131	63,738
1,082	Charlotte 2	Mecklenburg	7/16/2022	182,501	20,143,629	60,622
1,083	Charlotte 2	Mecklenburg	7/12/2022	182,501	22,733,884	56,236
1,084	Charlotte 2	Mecklenburg	7/9/2022	182,501	39,270,970	102,011
1,085	Charlotte 2	Mecklenburg	7/2/2022	182,501	18,575,889	57,446
1,086	Charlotte 2	Mecklenburg	6/28/2022	182,501	15,319,925	48,528
1,087	Charlotte 2	Mecklenburg	6/25/2022	182,501	21,605,713	62,300
1,088	Charlotte 2	Mecklenburg	6/21/2022	182,501	14,890,427	50,027
1,089	Charlotte 2	Mecklenburg	6/18/2022	182,501	9,487,961	27,774
1,090	Charlotte 2	Mecklenburg	6/14/2022	182,501	7,914,976	25,006
1,091	Charlotte 2	Mecklenburg	6/11/2022	182,501	22,374,625	69,282
1,092	Charlotte 2	Mecklenburg	6/7/2022	182,501	23,217,564	74,624
1,093	Charlotte 2	Mecklenburg	6/4/2022	182,501	13,795,211	42,661
1,094	Charlotte 2	Mecklenburg	5/28/2022	182,501	16,212,487	47,487
1,095	Charlotte 2	Mecklenburg	5/24/2022	182,501	25,953,629	76,158
1,096	Charlotte 2	Mecklenburg	5/21/2022	182,501	48,067,181	146,116
1,097	Charlotte 2	Mecklenburg	5/17/2022	182,501	25,045,729	75,000
1,098	Charlotte 2	Mecklenburg	5/14/2022	182,501	31,739,392	97,404
1,099	Charlotte 2	Mecklenburg	5/10/2022	182,501	7,442,056	23,558
1,100	Charlotte 2	Mecklenburg	5/7/2022	182,501	19,894,923	58,737
1,101	Charlotte 2	Mecklenburg	4/30/2022	182,501	23,104,933	68,465
1,102	Charlotte 2	Mecklenburg	4/26/2022	182,501	11,683,232	33,932
1,103	Charlotte 2	Mecklenburg	4/23/2022	182,501	11,277,881	31,052
1,104	Charlotte 2	Mecklenburg	4/19/2022	182,501	22,608,567	62,500
1,105	Charlotte 2	Mecklenburg	4/12/2022	182,501	4,164,652	12,740
1,106	Charlotte 2	Mecklenburg	4/9/2022	182,501	8,483,813	21,237
1,107	Charlotte 2	Mecklenburg	4/5/2022	182,501	5,642,137	16,771
1,108	Charlotte 2	Mecklenburg	4/2/2022	182,501	2,956,224	5,557
1,109	Charlotte 2	Mecklenburg	3/29/2022	182,501	3,576,812	11,581
1,110	Charlotte 2	Mecklenburg	3/26/2022	182,501	3,607,325	10,843
1,111	Charlotte 2	Mecklenburg	3/22/2022	182,501	3,168,450	9,470
1,112	Charlotte 2	Mecklenburg	3/19/2022	182,501	5,100,304	13,877
1,113	Charlotte 2	Mecklenburg	3/15/2022	182,501	1,210,931	3,373
1,114	Charlotte 2	Mecklenburg	3/12/2022	182,501	5,919,586	15,724
1,115	Charlotte 2	Mecklenburg	3/8/2022	182,501	4,087,003	13,162
1,116	Charlotte 2	Mecklenburg	3/5/2022	182,501	1,931,851	6,230
1,117	Charlotte 2	Mecklenburg	3/1/2022	182,501	4,580,512	11,715
1,118	Charlotte 2	Mecklenburg	2/26/2022	182,501	9,096,536	28,929
1,119	Charlotte 2	Mecklenburg	2/22/2022	182,501	1,401,672	4,541
1,120	Charlotte 2	Mecklenburg	2/19/2022	182,501	12,818,368	38,625
1,121	Charlotte 2	Mecklenburg	2/15/2022	182,501	6,945,287	22,625
1,122	Charlotte 2	Mecklenburg	2/12/2022	182,501	15,887,383	51,235
1,123	Charlotte 2	Mecklenburg	2/8/2022	182,501	2,719,549	8,570
1,124	Charlotte 2	Mecklenburg	2/5/2022	182,501	4,943,994	15,508
1,125	Charlotte 2	Mecklenburg	2/1/2022	182,501	5,875,473	19,062
1,126	Charlotte 2	Mecklenburg	1/29/2022	182,501	19,578,074	66,238
1,127	Charlotte 2	Mecklenburg	1/25/2022	182,501	9,108,927	29,006
1,128	Charlotte 2	Mecklenburg	1/22/2022	182,501	30,678,684	92,500
1,129	Charlotte 2	Mecklenburg	1/15/2022	182,501	66,714,655	235,982
1,130	Charlotte 2	Mecklenburg	1/11/2022	182,501	21,543,246	68,648
1,131	Charlotte 2	Mecklenburg	1/8/2022	182,501	200,254,304	694,577
1,132	Charlotte 2	Mecklenburg	1/4/2022	182,501	181,918,578	372,584
1,133	Charlotte 2	Mecklenburg	12/21/2021	182,501	26,245,239	66,144
1,134	Charlotte 2	Mecklenburg	12/18/2021	182,501	12,543,030	41,533
1,135	Charlotte 2	Mecklenburg	12/14/2021	182,501	13,423,856	43,967
1,136	Charlotte 2	Mecklenburg	12/11/2021	182,501	12,755,041	40,377
1,137	Charlotte 2	Mecklenburg	12/7/2021	182,501	16,174,313	51,235
1,138	Charlotte 2	Mecklenburg	12/4/2021	182,501	4,542,870	14,799
1,139	Charlotte 2	Mecklenburg	11/30/2021	182,501	2,781,170	9,653
1,140	Charlotte 2	Mecklenburg	11/23/2021	182,501	1,637,932	5,612
1,141	Charlotte 2	Mecklenburg	11/20/2021	182,501	2,077,542	7,124
1,142	Charlotte 2	Mecklenburg	11/16/2021	182,501	5,086,609	17,393
1,143	Charlotte 2	Mecklenburg	11/9/2021	182,501	6,663,205	21,973
1,144	Charlotte 2	Mecklenburg	11/6/2021	182,501	4,975,447	16,670
1,145	Charlotte 2	Mecklenburg	11/2/2021	182,501	13,233,287	48,554
1,146	Charlotte 2	Mecklenburg	10/30/2021	182,501	5,574,761	17,847
1,147	Charlotte 2	Mecklenburg	10/26/2021	182,501	5,025,113	17,607
1,148	Charlotte 2	Mecklenburg	10/23/2021	182,501	10,067,687	34,351
1,149	Charlotte 2	Mecklenburg	10/19/2021	182,501	2,245,612	7,689
1,150	Charlotte 2	Mecklenburg	10/16/2021	182,501	4,955,140	16,683
1,151	Charlotte 2	Mecklenburg	10/12/2021	182,501	4,299,681	14,849
1,152	Charlotte 2	Mecklenburg	10/9/2021	182,501	1,188,650	3,969
1,153	Charlotte 2	Mecklenburg	10/5/2021	182,501	10,114,375	32,187
1,154	Charlotte 2	Mecklenburg	10/2/2021	182,501	17,377,308	55,045
1,155	Charlotte 2	Mecklenburg	9/28/2021	182,501	3,015,155	9,520
1,156	Charlotte 2	Mecklenburg	9/25/2021	182,501	6,643,397	20,310
1,157	Charlotte 2	Mecklenburg	9/21/2021	182,501	18,967,018	60,042
1,158	Charlotte 2	Mecklenburg	9/18/2021	182,501	23,897,805	73,951
1,159	Charlotte 2	Mecklenburg	9/14/2021	182,501	45,472,407	139,194
1,160	Charlotte 2	Mecklenburg	9/11/2021	182,501	15,180,256	46,497
1,161	Charlotte 2	Mecklenburg	9/4/2021	182,501	46,527,397	137,113
1,162	Charlotte 2	Mecklenburg	8/31/2021	182,501	30,912,937	93,675
1,163	Charlotte 2	Mecklenburg	8/28/2021	182,501	49,216,508	150,083
1,164	Charlotte 2	Mecklenburg	8/24/2021	182,501	32,738,769	97,372
1,165	Charlotte 2	Mecklenburg	8/21/2021	182,501	11,449,019	35,429
1,166	Charlotte 2	Mecklenburg	8/17/2021	182,501	21,649,411	53,857
1,167	Charlotte 2	Mecklenburg	8/14/2021	182,501	43,907,782	124,449
1,168	Charlotte 2	Mecklenburg	8/10/2021	182,501	15,702,022	51,745
1,169	Charlotte 2	Mecklenburg	8/7/2021	182,501	25,016,016	79,608
1,170	Charlotte 2	Mecklenburg	8/3/2021	182,501	28,412,123	90,000
1,171	Charlotte 2	Mecklenburg	7/31/2021	182,501	18,909,517	57,446
1,172	Charlotte 2	Mecklenburg	7/27/2021	182,501	8,591,186	26,636
1,173	Charlotte 2	Mecklenburg	7/24/2021	182,501	27,906,099	86,023
1,174	Charlotte 2	Mecklenburg	7/20/2021	182,501	7,798,470	23,617
1,175	Charlotte 2	Mecklenburg	7/17/2021	182,501	6,083,110	20,310
1,176	Charlotte 2	Mecklenburg	7/13/2021	182,501	2,374,827	7,778
1,177	Charlotte 2	Mecklenburg	7/10/2021	182,501	4,991,828	15,427
1,178	Charlotte 2	Mecklenburg	7/3/2021	182,501	1,380,451	4,330
1,179	Charlotte 2	Mecklenburg	6/29/2021	182,501	3,575,367	10,869
1,180	Charlotte 2	Mecklenburg	6/26/2021	182,501	2,269,815	6,874
1,181	Charlotte 2	Mecklenburg	6/21/2021	182,501	391,990	0
1,182	Charlotte 2	Mecklenburg	6/18/2021	182,501	2,572,439	8,352
1,183	Charlotte 2	Mecklenburg	6/14/2021	182,501	1,066,515	3,162
1,184	Charlotte 2	Mecklenburg	6/11/2021	182,501	394,509	0
1,185	Charlotte 2	Mecklenburg	6/7/2021	182,501	2,579,218	6,114
1,186	Charlotte 2	Mecklenburg	6/4/2021	182,501	1,128,827	3,162
1,187	Charlotte 2	Mecklenburg	5/28/2021	182,501	587,905	0
1,188	Charlotte 2	Mecklenburg	5/26/2021	182,501	1,912,202	5,449
1,189	Charlotte 2	Mecklenburg	5/24/2021	182,501	318,716	0
1,190	Charlotte 2	Mecklenburg	5/19/2021	182,501	1,203,378	3,976
1,191	Charlotte 2	Mecklenburg	5/17/2021	182,501	1,493,108	4,796
1,192	Charlotte 2	Mecklenburg	5/12/2021	182,501	414,032	0
1,193	Charlotte 2	Mecklenburg	5/10/2021	182,501	108,770	0
1,194	Charlotte 2	Mecklenburg	5/5/2021	182,501	5,816,801	14,142
1,195	Charlotte 2	Mecklenburg	5/4/2021	182,501	4,524,900	12,073
1,196	Charlotte 2	Mecklenburg	4/28/2021	182,501	5,472,426	15,242
1,197	Charlotte 2	Mecklenburg	4/26/2021	182,501	3,033,078	7,866
1,198	Charlotte 2	Mecklenburg	4/21/2021	182,501	4,802,297	13,162
1,199	Charlotte 2	Mecklenburg	4/19/2021	182,501	5,789,786	15,708
1,200	Charlotte 2	Mecklenburg	4/14/2021	182,501	5,253,247	13,323
1,201	Charlotte 2	Mecklenburg	4/12/2021	182,501	4,243,642	10,601
1,202	Charlotte 2	Mecklenburg	4/7/2021	182,501	12,310,464	32,450
1,203	Charlotte 2	Mecklenburg	4/5/2021	182,501	2,198,625	5,662
1,204	Charlotte 2	Mecklenburg	3/31/2021	182,501	7,045,152	16,113
1,205	Charlotte 2	Mecklenburg	3/29/2021	182,501	16,142,030	31,623
1,206	Charlotte 2	Mecklenburg	3/24/2021	182,501	7,175,778	18,894
1,207	Charlotte 2	Mecklenburg	3/22/2021	182,501	8,002,126	18,620
1,208	Charlotte 2	Mecklenburg	3/17/2021	182,501	6,736,139	12,339
1,209	Charlotte 2	Mecklenburg	3/15/2021	182,501	3,601,699	10,562
1,210	Charlotte 2	Mecklenburg	3/9/2021	182,501	2,379,274	6,481
1,211	Charlotte 2	Mecklenburg	3/8/2021	182,501	8,110,902	20,115
1,212	Charlotte 2	Mecklenburg	3/3/2021	182,501	7,131,007	12,520
1,213	Charlotte 2	Mecklenburg	3/1/2021	182,501	5,981,200	10,118
1,214	Charlotte 2	Mecklenburg	2/24/2021	182,501	5,283,153	11,869
1,215	Charlotte 2	Mecklenburg	2/22/2021	182,501	37,711,783	83,516
1,216	Charlotte 2	Mecklenburg	2/17/2021	182,501	12,085,114	21,429
1,217	Charlotte 2	Mecklenburg	2/16/2021	182,501	8,409,152	13,748
1,218	Charlotte 2	Mecklenburg	2/10/2021	182,501	15,153,317	39,922
1,219	Charlotte 2	Mecklenburg	2/8/2021	182,501	15,573,676	34,442
1,220	Charlotte 2	Mecklenburg	2/3/2021	182,501	14,784,885	32,863
1,221	Charlotte 2	Mecklenburg	2/1/2021	182,501	6,384,327	14,224
1,222	Charlotte 2	Mecklenburg	1/27/2021	182,501	11,247,573	25,603
1,223	Charlotte 2	Mecklenburg	1/25/2021	182,501	26,766,831	81,009
1,224	Charlotte 2	Mecklenburg	1/20/2021	182,501	16,192,683	47,631
1,225	Charlotte 2	Mecklenburg	1/13/2021	182,501	22,175,968	62,450
1,226	Charlotte 2	Mecklenburg	1/12/2021	182,501	19,772,480	53,735
1,227	Charlotte 2	Mecklenburg	1/6/2021	182,501	31,440,074	90,333
1,228	Charlotte 2	Mecklenburg	1/4/2021	182,501	48,863,073	119,583
1,229	Charlotte 3	Mecklenburg	5/16/2023	120,000	18,828,468	55,601
1,230	Charlotte 3	Mecklenburg	5/13/2023	120,000	31,159,903	86,725
1,231	Charlotte 3	Mecklenburg	5/7/2023	120,000	17,781,511	49,607
1,232	Charlotte 3	Mecklenburg	5/6/2023	120,000	17,502,024	49,926
1,233	Charlotte 3	Mecklenburg	4/29/2023	120,000	25,314,795	48,169
1,234	Charlotte 3	Mecklenburg	4/25/2023	120,000	9,967,817	25,545
1,235	Charlotte 3	Mecklenburg	4/22/2023	120,000	3,777,159	10,295
1,236	Charlotte 3	Mecklenburg	4/18/2023	120,000	16,118,195	39,863
1,237	Charlotte 3	Mecklenburg	4/15/2023	120,000	38,692,499	96,734
1,238	Charlotte 3	Mecklenburg	4/11/2023	120,000	27,079,184	51,250
1,239	Charlotte 3	Mecklenburg	4/7/2023	120,000	31,880,383	85,357
1,240	Charlotte 3	Mecklenburg	4/4/2023	120,000	14,400,011	39,523
1,241	Charlotte 3	Mecklenburg	4/1/2023	120,000	22,609,470	59,978
1,242	Charlotte 3	Mecklenburg	3/28/2023	120,000	25,781,185	62,820
1,243	Charlotte 3	Mecklenburg	3/25/2023	120,000	35,705,277	99,463
1,244	Charlotte 3	Mecklenburg	3/21/2023	120,000	2,946,901	7,825
1,245	Charlotte 3	Mecklenburg	3/18/2023	120,000	6,780,194	17,778
1,246	Charlotte 3	Mecklenburg	3/14/2023	120,000	899,365	2,121
1,247	Charlotte 3	Mecklenburg	3/10/2023	120,000	6,334,457	16,875
1,248	Charlotte 3	Mecklenburg	3/7/2023	120,000	4,397,386	11,646
1,249	Charlotte 3	Mecklenburg	3/4/2023	120,000	6,189,565	16,628
1,250	Charlotte 3	Mecklenburg	2/28/2023	120,000	8,031,274	20,869
1,251	Charlotte 3	Mecklenburg	2/25/2023	120,000	7,815,911	21,213
1,252	Charlotte 3	Mecklenburg	2/22/2023	120,000	10,271,000	27,014
1,253	Charlotte 3	Mecklenburg	2/19/2023	120,000	15,535,379	38,696
1,254	Charlotte 3	Mecklenburg	2/11/2023	120,000	20,457,651	56,125
1,255	Charlotte 3	Mecklenburg	2/7/2023	120,000	10,700,440	26,663
1,256	Charlotte 3	Mecklenburg	2/4/2023	120,000	21,249,874	49,387
1,257	Charlotte 3	Mecklenburg	1/31/2023	120,000	38,541,288	89,443
1,258	Charlotte 3	Mecklenburg	1/28/2023	120,000	38,328,534	108,972
1,259	Charlotte 3	Mecklenburg	1/24/2023	120,000	9,643,459	23,318
1,260	Charlotte 3	Mecklenburg	1/21/2023	120,000	33,813,175	84,668
1,261	Charlotte 3	Mecklenburg	1/14/2023	120,000	32,135,923	81,892
1,262	Charlotte 3	Mecklenburg	1/10/2023	120,000	15,628,851	40,577
1,263	Charlotte 3	Mecklenburg	1/7/2023	120,000	38,223,753	85,513
1,264	Charlotte 3	Mecklenburg	12/31/2022	120,000	77,335,871	235,505
1,265	Charlotte 3	Mecklenburg	12/24/2022	120,000	96,817,386	183,235
1,266	Charlotte 3	Mecklenburg	12/20/2022	120,000	15,524,819	43,323
1,267	Charlotte 3	Mecklenburg	12/17/2022	120,000	22,161,799	45,768
1,268	Charlotte 3	Mecklenburg	12/13/2022	120,000	21,432,608	62,048
1,269	Charlotte 3	Mecklenburg	12/10/2022	120,000	32,534,763	85,805
1,270	Charlotte 3	Mecklenburg	12/6/2022	120,000	18,514,061	51,847
1,271	Charlotte 3	Mecklenburg	12/3/2022	120,000	14,804,331	40,423
1,272	Charlotte 3	Mecklenburg	11/29/2022	120,000	18,349,319	46,948
1,273	Charlotte 3	Mecklenburg	11/24/2022	120,000	30,561,373	89,128
1,274	Charlotte 3	Mecklenburg	11/22/2022	120,000	15,346,971	42,453
1,275	Charlotte 3	Mecklenburg	11/19/2022	120,000	32,116,838	102,530
1,276	Charlotte 3	Mecklenburg	11/14/2022	120,000	20,828,060	56,773
1,277	Charlotte 3	Mecklenburg	11/11/2022	120,000	21,705,610	70,356
1,278	Charlotte 3	Mecklenburg	11/9/2022	120,000	7,743,633	23,558
1,279	Charlotte 3	Mecklenburg	11/5/2022	120,000	13,000,791	43,474
1,280	Charlotte 3	Mecklenburg	11/1/2022	120,000	9,595,528	30,850
1,281	Charlotte 3	Mecklenburg	10/27/2022	120,000	22,525,205	69,597
1,282	Charlotte 3	Mecklenburg	10/25/2022	120,000	4,725,999	14,241
1,283	Charlotte 3	Mecklenburg	10/22/2022	120,000	9,273,282	30,058
1,284	Charlotte 3	Mecklenburg	10/18/2022	120,000	17,899,259	56,292
1,285	Charlotte 3	Mecklenburg	10/15/2022	120,000	20,328,494	54,245
1,286	Charlotte 3	Mecklenburg	10/9/2022	120,000	7,896,164	23,177
1,287	Charlotte 3	Mecklenburg	10/8/2022	120,000	12,461,156	40,683
1,288	Charlotte 3	Mecklenburg	10/4/2022	120,000	10,610,255	31,464
1,289	Charlotte 3	Mecklenburg	10/1/2022	120,000	11,194,185	33,541
1,290	Charlotte 3	Mecklenburg	9/27/2022	120,000	14,364,090	40,620
1,291	Charlotte 3	Mecklenburg	9/24/2022	120,000	16,471,527	52,164
1,292	Charlotte 3	Mecklenburg	9/20/2022	120,000	8,742,502	24,396
