,B.1.1.529,B.1.617.2,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.75.2,BA.2.86,BA.4,BA.4.6,BA.5,BA.5.2.6,BF.11,BF.7,BN.1,BQ.1,BQ.1.1,CH.1.1,EG.5,EG.5.1.8,EG.6.1,EU.1.1,FD.1.1,FD.2,FE.1.1,FL.1.5.1,GE.1,GK.1.1,GK.2,HF.1,HK.3,HV.1,JD.1.1,JF.1,JG.3,JN.1,JN.1.11.1,JN.1.13,JN.1.13.1,JN.1.16,JN.1.16.1,JN.1.18,JN.1.18.6,JN.1.32,JN.1.4.3,JN.1.7,JN.1.8.1,KP.1.1,KP.1.1.3,KP.1.2,KP.2,KP.2.15,KP.2.3,KP.3,KP.3.1.1,KP.4.1,KQ.1,KS.1,KV.2,KW.1.1,LB.1,LB.1.3.1,LF.3.1,LF.7,LF.7.2.1,LF.7.7.1,LF.7.7.2,LF.7.9,LP.1,LP.8.1,MC.1,MC.10.1,MC.19,MC.28.1,NA,NB.1.8.1,NW.1,Other,PA.1,PQ.17,XBB,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.17,XBB.1.16.6,XBB.1.42.2,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.59,XBB.1.5.68,XBB.1.5.70,XBB.1.5.72,XBB.1.9.1,XBB.1.9.2,XBB.2.3,XBB.2.3.8,XDP,XDV.1,XEC,XEC.4,XEK,XEQ,XFC,XFG,XFG.1,XFG.1.1,XFG.14.1,XFG.6,XFV,XFY,XFZ
2021-06-20,0.00013875236358469286,0.27854747325181956,0.00013438515400460713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7211793895278658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,0.00013422184637022945,0.29804058931767935,0.00013368364885273305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7016915048339537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,0.00012969132915576607,0.31753370538353914,0.00013298214370085893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6822036201400417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,0.00012516081194130269,0.33702682144939894,0.00013228063854898482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6627157354461295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,0.00012063029472683928,0.35651993751525873,0.0001315791333971107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6432278507522174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,0.0001160997775123759,0.37601305358111853,0.0001308776282452366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6237399660583054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,0.0001115692602979125,0.3955061696469783,0.0001301761230933625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6042520813643932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,0.0001070387430834491,0.4149992857128381,0.0001294746179414884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5847641966704811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,0.00010250822586898571,0.4344924017786979,0.00012877311278961429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565276311976569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-29,9.797770865452231e-05,0.4539855178445577,0.00012807160763774017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545788427282657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,9.344719144005892e-05,0.4734786339104175,0.00012737010248586606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5263005425887448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,8.891667422559553e-05,0.4929717499762773,0.00012666859733399195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5068126578948327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,8.438615701113214e-05,0.5124648660421371,0.00012596709218211786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4873247732009206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,7.985563979666874e-05,0.5319579821079969,0.00012526558703024375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46783688850700855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,7.532512258220535e-05,0.5514510981738567,0.00012456408187836964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44834900381309645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05,7.079460536774195e-05,0.5709442142397165,0.00012386257672649553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42886111911918434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,6.626408815327856e-05,0.5904373303055763,0.00012316107157462141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40937323442527224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07,6.173357093881517e-05,0.6099304463714361,0.0001224595664227473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38988534973136013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,5.720305372435178e-05,0.6294235624372959,0.0001217580612708732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3703974650374481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,5.267253650988838e-05,0.6489166785031557,0.0001210565561189991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3509095803435359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,4.8142019295425e-05,0.6684097945690155,0.00012035505096712499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33142169564962387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,4.787158525767947e-05,0.6786110587418079,0.00011838773437888526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3212264497165701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,4.760115121993393e-05,0.6888123229146004,0.00011642041779064553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31103120378351634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,4.7330717182188395e-05,0.6990135870873928,0.0001144531012024058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30083595785046263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-14,4.7060283144442856e-05,0.7092148512601852,0.00011248578461416607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29064071191740887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-15,4.678984910669732e-05,0.7194161154329777,0.00011051846802592632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2804454659843551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,4.6519415068951784e-05,0.7296173796057701,0.00010855115143768661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2702502200513014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,4.624898103120625e-05,0.7398186437785625,0.00010658383484944686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26005497411824763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,4.597854699346071e-05,0.750019907951355,0.00010461651826120713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24985972818519386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,4.570811295571518e-05,0.7602211721241474,0.0001026492016729674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2396644822521401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,4.5437678917969646e-05,0.7704224362969398,0.00010068188508472767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22946923631908636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-21,4.5167244880224107e-05,0.7806237004697323,9.871456849648794e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21927399038603262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,4.4896810842478574e-05,0.7908249646425247,9.674725190824821e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20907874445297886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
