"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Alheda","2021-08-22","2021-W33","8"
"Kakolanmäki","2021-08-22","2021-W33","325"
"Kuhasalo","2021-08-22","2021-W33","38"
"Lehtoniemi","2021-08-22","2021-W33","18"
"Luotsinmäki","2021-08-22","2021-W33","25"
"Mäkikylä","2021-08-22","2021-W33","25"
"Nenäinniemi","2021-08-22","2021-W33","87"
"Paroinen","2021-08-22","2021-W33","42"
"Pått","2021-08-22","2021-W33","61"
"Seinäjoenkeskuspuhdistamo","2021-08-22","2021-W33","24"
"Suomenoja","2021-08-22","2021-W33","620"
"Taskila","2021-08-22","2021-W33","147"
"Toikansuo","2021-08-22","2021-W33","46"
"Viikinmäki","2021-08-22","2021-W33","1 260"
"Viinikanlahti","2021-08-22","2021-W33","120"
"Aggregated","2021-08-15","2021-W32","3 297"
"Alakorkalo","2021-08-15","2021-W32","95"
"Alheda","2021-08-15","2021-W32",".."
"Kakolanmäki","2021-08-15","2021-W32","296"
"Kuhasalo","2021-08-15","2021-W32","35"
"Lehtoniemi","2021-08-15","2021-W32","39"
"Luotsinmäki","2021-08-15","2021-W32","39"
"Mäkikylä","2021-08-15","2021-W32","26"
"Nenäinniemi","2021-08-15","2021-W32","130"
"Paroinen","2021-08-15","2021-W32","28"
"Pått","2021-08-15","2021-W32","58"
"Seinäjoenkeskuspuhdistamo","2021-08-15","2021-W32","27"
"Suomenoja","2021-08-15","2021-W32","746"
"Taskila","2021-08-15","2021-W32","143"
"Toikansuo","2021-08-15","2021-W32","64"
"Viikinmäki","2021-08-15","2021-W32","1 632"
"Viinikanlahti","2021-08-15","2021-W32","217"
"Aggregated","2021-08-08","2021-W31","3 111"
"Alakorkalo","2021-08-08","2021-W31","92"
"Alheda","2021-08-08","2021-W31","8"
"Kakolanmäki","2021-08-08","2021-W31","328"
"Kuhasalo","2021-08-08","2021-W31","37"
"Lehtoniemi","2021-08-08","2021-W31","55"
"Luotsinmäki","2021-08-08","2021-W31","38"
"Mäkikylä","2021-08-08","2021-W31","29"
"Nenäinniemi","2021-08-08","2021-W31","123"
"Paroinen","2021-08-08","2021-W31","41"
"Pått","2021-08-08","2021-W31","25"
"Seinäjoenkeskuspuhdistamo","2021-08-08","2021-W31","18"
"Suomenoja","2021-08-08","2021-W31","647"
"Taskila","2021-08-08","2021-W31","141"
"Toikansuo","2021-08-08","2021-W31","45"
"Viikinmäki","2021-08-08","2021-W31","1 472"
"Viinikanlahti","2021-08-08","2021-W31","283"
"Aggregated","2021-08-01","2021-W30","2 892"
"Alakorkalo","2021-08-01","2021-W30","22"
"Alheda","2021-08-01","2021-W30","8"
"Kakolanmäki","2021-08-01","2021-W30","344"
"Kuhasalo","2021-08-01","2021-W30","53"
"Lehtoniemi","2021-08-01","2021-W30","57"
"Luotsinmäki","2021-08-01","2021-W30","23"
"Mäkikylä","2021-08-01","2021-W30","26"
"Nenäinniemi","2021-08-01","2021-W30","93"
"Paroinen","2021-08-01","2021-W30","44"
"Pått","2021-08-01","2021-W30","28"
"Seinäjoenkeskuspuhdistamo","2021-08-01","2021-W30","18"
"Suomenoja","2021-08-01","2021-W30","560"
"Taskila","2021-08-01","2021-W30","108"
"Toikansuo","2021-08-01","2021-W30","49"
"Viikinmäki","2021-08-01","2021-W30","1 377"
"Viinikanlahti","2021-08-01","2021-W30","272"
"Aggregated","2021-07-25","2021-W29","1 837"
"Alakorkalo","2021-07-25","2021-W29","20"
"Alheda","2021-07-25","2021-W29",".."
"Kakolanmäki","2021-07-25","2021-W29","266"
"Kuhasalo","2021-07-25","2021-W29","46"
"Lehtoniemi","2021-07-25","2021-W29","29"
"Luotsinmäki","2021-07-25","2021-W29","29"
"Mäkikylä","2021-07-25","2021-W29","18"
"Nenäinniemi","2021-07-25","2021-W29","75"
"Paroinen","2021-07-25","2021-W29","21"
"Pått","2021-07-25","2021-W29","14"
"Seinäjoenkeskuspuhdistamo","2021-07-25","2021-W29","9"
"Suomenoja","2021-07-25","2021-W29","323"
"Taskila","2021-07-25","2021-W29","33"
"Toikansuo","2021-07-25","2021-W29","22"
"Viikinmäki","2021-07-25","2021-W29","891"
"Viinikanlahti","2021-07-25","2021-W29","160"
"Aggregated","2021-07-18","2021-W28","1 364"
"Alakorkalo","2021-07-18","2021-W28","22"
"Alheda","2021-07-18","2021-W28",".."
"Kakolanmäki","2021-07-18","2021-W28","132"
"Kuhasalo","2021-07-18","2021-W28","24"
"Lehtoniemi","2021-07-18","2021-W28","29"
"Luotsinmäki","2021-07-18","2021-W28","12"
"Mäkikylä","2021-07-18","2021-W28","22"
"Nenäinniemi","2021-07-18","2021-W28","25"
"Paroinen","2021-07-18","2021-W28","14"
"Pått","2021-07-18","2021-W28","9"
"Seinäjoenkeskuspuhdistamo","2021-07-18","2021-W28","9"
"Suomenoja","2021-07-18","2021-W28","290"
"Taskila","2021-07-18","2021-W28","15"
"Toikansuo","2021-07-18","2021-W28","11"
"Viikinmäki","2021-07-18","2021-W28","744"
"Viinikanlahti","2021-07-18","2021-W28","96"
"Aggregated","2021-07-11","2021-W27","955"
"Alakorkalo","2021-07-11","2021-W27","31"
"Alheda","2021-07-11","2021-W27",".."
"Kakolanmäki","2021-07-11","2021-W27","111"
"Kuhasalo","2021-07-11","2021-W27","16"
"Lehtoniemi","2021-07-11","2021-W27","26"
"Luotsinmäki","2021-07-11","2021-W27","9"
"Mäkikylä","2021-07-11","2021-W27","32"
"Nenäinniemi","2021-07-11","2021-W27","26"
"Paroinen","2021-07-11","2021-W27",".."
"Pått","2021-07-11","2021-W27",".."
"Seinäjoenkeskuspuhdistamo","2021-07-11","2021-W27","5"
"Suomenoja","2021-07-11","2021-W27","195"
"Taskila","2021-07-11","2021-W27","15"
"Toikansuo","2021-07-11","2021-W27","13"
"Viikinmäki","2021-07-11","2021-W27","489"
"Viinikanlahti","2021-07-11","2021-W27","73"
"Aggregated","2021-07-04","2021-W26","700"
"Alakorkalo","2021-07-04","2021-W26",".."
"Alheda","2021-07-04","2021-W26",".."
"Kakolanmäki","2021-07-04","2021-W26","104"
"Kuhasalo","2021-07-04","2021-W26","10"
"Lehtoniemi","2021-07-04","2021-W26","8"
"Luotsinmäki","2021-07-04","2021-W26","22"
"Mäkikylä","2021-07-04","2021-W26","45"
"Nenäinniemi","2021-07-04","2021-W26","18"
"Paroinen","2021-07-04","2021-W26","10"
"Pått","2021-07-04","2021-W26","6"
"Seinäjoenkeskuspuhdistamo","2021-07-04","2021-W26","7"
"Suomenoja","2021-07-04","2021-W26","139"
"Taskila","2021-07-04","2021-W26","11"
"Toikansuo","2021-07-04","2021-W26","18"
"Viikinmäki","2021-07-04","2021-W26","338"
"Viinikanlahti","2021-07-04","2021-W26","65"
"Aggregated","2021-06-27","2021-W25","577"
"Alakorkalo","2021-06-27","2021-W25",".."
"Alheda","2021-06-27","2021-W25",".."
"Kakolanmäki","2021-06-27","2021-W25","45"
"Kuhasalo","2021-06-27","2021-W25","11"
"Lehtoniemi","2021-06-27","2021-W25",".."
"Luotsinmäki","2021-06-27","2021-W25","17"
"Mäkikylä","2021-06-27","2021-W25","20"
"Nenäinniemi","2021-06-27","2021-W25","14"
"Paroinen","2021-06-27","2021-W25","8"
"Pått","2021-06-27","2021-W25","8"
"Seinäjoenkeskuspuhdistamo","2021-06-27","2021-W25",".."
"Suomenoja","2021-06-27","2021-W25","107"
"Taskila","2021-06-27","2021-W25","9"
"Toikansuo","2021-06-27","2021-W25","14"
"Viikinmäki","2021-06-27","2021-W25","347"
"Viinikanlahti","2021-06-27","2021-W25","34"
"Aggregated","2021-06-20","2021-W24","322"
"Alakorkalo","2021-06-20","2021-W24",".."
"Alheda","2021-06-20","2021-W24",".."
"Kakolanmäki","2021-06-20","2021-W24","24"
"Kuhasalo","2021-06-20","2021-W24",".."
"Lehtoniemi","2021-06-20","2021-W24",".."
"Luotsinmäki","2021-06-20","2021-W24",".."
"Mäkikylä","2021-06-20","2021-W24",".."
"Nenäinniemi","2021-06-20","2021-W24","9"
"Paroinen","2021-06-20","2021-W24",".."
"Pått","2021-06-20","2021-W24",".."
"Seinäjoenkeskuspuhdistamo","2021-06-20","2021-W24",".."
"Suomenoja","2021-06-20","2021-W24","57"
"Taskila","2021-06-20","2021-W24",".."
"Toikansuo","2021-06-20","2021-W24","8"
"Viikinmäki","2021-06-20","2021-W24","174"
"Viinikanlahti","2021-06-20","2021-W24","46"
"Aggregated","2021-06-13","2021-W23","359"
"Alakorkalo","2021-06-13","2021-W23",".."
"Alheda","2021-06-13","2021-W23",".."
"Kakolanmäki","2021-06-13","2021-W23","29"
"Kuhasalo","2021-06-13","2021-W23",".."
"Lehtoniemi","2021-06-13","2021-W23",".."
"Luotsinmäki","2021-06-13","2021-W23",".."
"Mäkikylä","2021-06-13","2021-W23",".."
"Nenäinniemi","2021-06-13","2021-W23","20"
"Paroinen","2021-06-13","2021-W23",".."
"Pått","2021-06-13","2021-W23","6"
"Seinäjoenkeskuspuhdistamo","2021-06-13","2021-W23",".."
"Suomenoja","2021-06-13","2021-W23","62"
"Taskila","2021-06-13","2021-W23",".."
"Toikansuo","2021-06-13","2021-W23",".."
"Viikinmäki","2021-06-13","2021-W23","201"
"Viinikanlahti","2021-06-13","2021-W23","33"
"Aggregated","2021-06-06","2021-W22","475"
"Alakorkalo","2021-06-06","2021-W22",".."
"Alheda","2021-06-06","2021-W22",".."
"Kakolanmäki","2021-06-06","2021-W22","24"
"Kuhasalo","2021-06-06","2021-W22",".."
"Lehtoniemi","2021-06-06","2021-W22",".."
"Luotsinmäki","2021-06-06","2021-W22","7"
"Mäkikylä","2021-06-06","2021-W22",".."
"Nenäinniemi","2021-06-06","2021-W22","22"
"Paroinen","2021-06-06","2021-W22","8"
"Pått","2021-06-06","2021-W22",".."
"Seinäjoenkeskuspuhdistamo","2021-06-06","2021-W22",".."
"Suomenoja","2021-06-06","2021-W22","118"
"Taskila","2021-06-06","2021-W22",".."
"Toikansuo","2021-06-06","2021-W22","5"
"Viikinmäki","2021-06-06","2021-W22","270"
"Viinikanlahti","2021-06-06","2021-W22","31"
"Aggregated","2021-05-30","2021-W21","522"
"Alakorkalo","2021-05-30","2021-W21",".."
"Alheda","2021-05-30","2021-W21",".."
"Kakolanmäki","2021-05-30","2021-W21","34"
"Kuhasalo","2021-05-30","2021-W21",".."
"Lehtoniemi","2021-05-30","2021-W21","6"
"Luotsinmäki","2021-05-30","2021-W21","6"
"Mäkikylä","2021-05-30","2021-W21",".."
"Nenäinniemi","2021-05-30","2021-W21","15"
"Paroinen","2021-05-30","2021-W21","30"
"Pått","2021-05-30","2021-W21",".."
"Seinäjoenkeskuspuhdistamo","2021-05-30","2021-W21",".."
"Suomenoja","2021-05-30","2021-W21","136"
"Taskila","2021-05-30","2021-W21","16"
"Toikansuo","2021-05-30","2021-W21",".."
"Viikinmäki","2021-05-30","2021-W21","272"
"Viinikanlahti","2021-05-30","2021-W21","37"
"Aggregated","2021-05-23","2021-W20","692"
"Alakorkalo","2021-05-23","2021-W20",".."
"Alheda","2021-05-23","2021-W20","6"
"Kakolanmäki","2021-05-23","2021-W20","74"
"Kuhasalo","2021-05-23","2021-W20","5"
"Lehtoniemi","2021-05-23","2021-W20",".."
"Luotsinmäki","2021-05-23","2021-W20","10"
"Mäkikylä","2021-05-23","2021-W20","9"
"Nenäinniemi","2021-05-23","2021-W20","11"
"Paroinen","2021-05-23","2021-W20","47"
"Pått","2021-05-23","2021-W20",".."
"Seinäjoenkeskuspuhdistamo","2021-05-23","2021-W20",".."
"Suomenoja","2021-05-23","2021-W20","167"
"Taskila","2021-05-23","2021-W20","10"
"Toikansuo","2021-05-23","2021-W20",".."
"Viikinmäki","2021-05-23","2021-W20","377"
"Viinikanlahti","2021-05-23","2021-W20","43"
"Aggregated","2021-05-16","2021-W19","773"
"Alakorkalo","2021-05-16","2021-W19",".."
"Alheda","2021-05-16","2021-W19",".."
"Kakolanmäki","2021-05-16","2021-W19","111"
"Kuhasalo","2021-05-16","2021-W19",".."
"Lehtoniemi","2021-05-16","2021-W19",".."
"Luotsinmäki","2021-05-16","2021-W19","29"
"Mäkikylä","2021-05-16","2021-W19","22"
"Nenäinniemi","2021-05-16","2021-W19","7"
"Paroinen","2021-05-16","2021-W19","29"
"Pått","2021-05-16","2021-W19",".."
"Seinäjoenkeskuspuhdistamo","2021-05-16","2021-W19","6"
"Suomenoja","2021-05-16","2021-W19","193"
"Taskila","2021-05-16","2021-W19","22"
"Toikansuo","2021-05-16","2021-W19",".."
"Viikinmäki","2021-05-16","2021-W19","390"
"Viinikanlahti","2021-05-16","2021-W19","42"
"Aggregated","2021-05-09","2021-W18","836"
"Alakorkalo","2021-05-09","2021-W18",".."
"Alheda","2021-05-09","2021-W18",".."
"Kakolanmäki","2021-05-09","2021-W18","160"
"Kuhasalo","2021-05-09","2021-W18",".."
"Lehtoniemi","2021-05-09","2021-W18",".."
"Luotsinmäki","2021-05-09","2021-W18","10"
"Mäkikylä","2021-05-09","2021-W18",".."
"Nenäinniemi","2021-05-09","2021-W18","8"
"Paroinen","2021-05-09","2021-W18","21"
"Pått","2021-05-09","2021-W18","8"
"Seinäjoenkeskuspuhdistamo","2021-05-09","2021-W18",".."
"Suomenoja","2021-05-09","2021-W18","187"
"Taskila","2021-05-09","2021-W18","28"
"Toikansuo","2021-05-09","2021-W18",".."
"Viikinmäki","2021-05-09","2021-W18","401"
"Viinikanlahti","2021-05-09","2021-W18","44"
"Aggregated","2021-05-02","2021-W17","796"
"Alakorkalo","2021-05-02","2021-W17",".."
"Alheda","2021-05-02","2021-W17",".."
"Kakolanmäki","2021-05-02","2021-W17","89"
"Kuhasalo","2021-05-02","2021-W17",".."
"Lehtoniemi","2021-05-02","2021-W17",".."
"Luotsinmäki","2021-05-02","2021-W17","19"
"Mäkikylä","2021-05-02","2021-W17",".."
"Nenäinniemi","2021-05-02","2021-W17",".."
"Paroinen","2021-05-02","2021-W17","21"
"Pått","2021-05-02","2021-W17","9"
"Seinäjoenkeskuspuhdistamo","2021-05-02","2021-W17","7"
"Suomenoja","2021-05-02","2021-W17","208"
"Taskila","2021-05-02","2021-W17","46"
"Toikansuo","2021-05-02","2021-W17","5"
"Viikinmäki","2021-05-02","2021-W17","384"
"Viinikanlahti","2021-05-02","2021-W17","52"
"Aggregated","2021-04-25","2021-W16","1 017"
"Alakorkalo","2021-04-25","2021-W16",".."
"Alheda","2021-04-25","2021-W16",".."
"Kakolanmäki","2021-04-25","2021-W16","156"
"Kuhasalo","2021-04-25","2021-W16","6"
"Lehtoniemi","2021-04-25","2021-W16",".."
"Luotsinmäki","2021-04-25","2021-W16","11"
"Mäkikylä","2021-04-25","2021-W16","7"
"Nenäinniemi","2021-04-25","2021-W16","5"
"Paroinen","2021-04-25","2021-W16","19"
"Pått","2021-04-25","2021-W16","5"
"Seinäjoenkeskuspuhdistamo","2021-04-25","2021-W16",".."
"Suomenoja","2021-04-25","2021-W16","250"
"Taskila","2021-04-25","2021-W16","49"
"Toikansuo","2021-04-25","2021-W16","14"
"Viikinmäki","2021-04-25","2021-W16","433"
"Viinikanlahti","2021-04-25","2021-W16","108"
"Aggregated","2021-04-18","2021-W15","1 189"
"Alakorkalo","2021-04-18","2021-W15",".."
"Alheda","2021-04-18","2021-W15",".."
"Kakolanmäki","2021-04-18","2021-W15","179"
"Kuhasalo","2021-04-18","2021-W15",".."
"Lehtoniemi","2021-04-18","2021-W15",".."
"Luotsinmäki","2021-04-18","2021-W15","16"
"Mäkikylä","2021-04-18","2021-W15","10"
"Nenäinniemi","2021-04-18","2021-W15","20"
"Paroinen","2021-04-18","2021-W15","9"
"Pått","2021-04-18","2021-W15",".."
"Seinäjoenkeskuspuhdistamo","2021-04-18","2021-W15","16"
"Suomenoja","2021-04-18","2021-W15","263"
"Taskila","2021-04-18","2021-W15","32"
"Toikansuo","2021-04-18","2021-W15","28"
"Viikinmäki","2021-04-18","2021-W15","592"
"Viinikanlahti","2021-04-18","2021-W15","93"
"Aggregated","2021-04-11","2021-W14","1 544"
"Alakorkalo","2021-04-11","2021-W14",".."
"Alheda","2021-04-11","2021-W14","6"
"Kakolanmäki","2021-04-11","2021-W14","193"
"Kuhasalo","2021-04-11","2021-W14","7"
"Lehtoniemi","2021-04-11","2021-W14","12"
"Luotsinmäki","2021-04-11","2021-W14","17"
"Mäkikylä","2021-04-11","2021-W14","14"
"Nenäinniemi","2021-04-11","2021-W14","28"
"Paroinen","2021-04-11","2021-W14","11"
"Pått","2021-04-11","2021-W14","6"
"Seinäjoenkeskuspuhdistamo","2021-04-11","2021-W14","13"
"Suomenoja","2021-04-11","2021-W14","367"
"Taskila","2021-04-11","2021-W14","13"
"Toikansuo","2021-04-11","2021-W14","33"
"Viikinmäki","2021-04-11","2021-W14","832"
"Viinikanlahti","2021-04-11","2021-W14","86"
"Aggregated","2021-04-04","2021-W13","2 086"
"Alakorkalo","2021-04-04","2021-W13",".."
"Alheda","2021-04-04","2021-W13",".."
"Kakolanmäki","2021-04-04","2021-W13","264"
"Kuhasalo","2021-04-04","2021-W13","23"
"Lehtoniemi","2021-04-04","2021-W13","17"
"Luotsinmäki","2021-04-04","2021-W13","28"
"Mäkikylä","2021-04-04","2021-W13","27"
"Nenäinniemi","2021-04-04","2021-W13","51"
"Paroinen","2021-04-04","2021-W13","9"
"Pått","2021-04-04","2021-W13","15"
"Seinäjoenkeskuspuhdistamo","2021-04-04","2021-W13","18"
"Suomenoja","2021-04-04","2021-W13","466"
"Taskila","2021-04-04","2021-W13","22"
"Toikansuo","2021-04-04","2021-W13","46"
"Viikinmäki","2021-04-04","2021-W13","1 139"
"Viinikanlahti","2021-04-04","2021-W13","90"
"Aggregated","2021-03-28","2021-W12","2 794"
"Alakorkalo","2021-03-28","2021-W12","5"
"Alheda","2021-03-28","2021-W12",".."
"Kakolanmäki","2021-03-28","2021-W12","417"
"Kuhasalo","2021-03-28","2021-W12","22"
"Lehtoniemi","2021-03-28","2021-W12","38"
"Luotsinmäki","2021-03-28","2021-W12","17"
"Mäkikylä","2021-03-28","2021-W12","29"
"Nenäinniemi","2021-03-28","2021-W12","58"
"Paroinen","2021-03-28","2021-W12","39"
"Pått","2021-03-28","2021-W12","12"
"Seinäjoenkeskuspuhdistamo","2021-03-28","2021-W12",".."
"Suomenoja","2021-03-28","2021-W12","564"
"Taskila","2021-03-28","2021-W12","23"
"Toikansuo","2021-03-28","2021-W12","65"
"Viikinmäki","2021-03-28","2021-W12","1 524"
"Viinikanlahti","2021-03-28","2021-W12","136"
"Aggregated","2021-03-21","2021-W11","3 177"
"Alakorkalo","2021-03-21","2021-W11","7"
"Alheda","2021-03-21","2021-W11",".."
"Kakolanmäki","2021-03-21","2021-W11","508"
"Kuhasalo","2021-03-21","2021-W11","20"
"Lehtoniemi","2021-03-21","2021-W11","26"
"Luotsinmäki","2021-03-21","2021-W11","24"
"Mäkikylä","2021-03-21","2021-W11","17"
"Nenäinniemi","2021-03-21","2021-W11","78"
"Paroinen","2021-03-21","2021-W11","58"
"Pått","2021-03-21","2021-W11","14"
"Seinäjoenkeskuspuhdistamo","2021-03-21","2021-W11",".."
"Suomenoja","2021-03-21","2021-W11","640"
"Taskila","2021-03-21","2021-W11","38"
"Toikansuo","2021-03-21","2021-W11","77"
"Viikinmäki","2021-03-21","2021-W11","1 725"
"Viinikanlahti","2021-03-21","2021-W11","129"
"Aggregated","2021-03-14","2021-W10","3 412"
"Alakorkalo","2021-03-14","2021-W10","8"
"Alheda","2021-03-14","2021-W10",".."
"Kakolanmäki","2021-03-14","2021-W10","437"
"Kuhasalo","2021-03-14","2021-W10",".."
"Lehtoniemi","2021-03-14","2021-W10","49"
"Luotsinmäki","2021-03-14","2021-W10","19"
"Mäkikylä","2021-03-14","2021-W10","25"
"Nenäinniemi","2021-03-14","2021-W10","58"
"Paroinen","2021-03-14","2021-W10","68"
"Pått","2021-03-14","2021-W10","35"
"Seinäjoenkeskuspuhdistamo","2021-03-14","2021-W10","6"
"Suomenoja","2021-03-14","2021-W10","726"
"Taskila","2021-03-14","2021-W10","54"
"Toikansuo","2021-03-14","2021-W10","64"
"Viikinmäki","2021-03-14","2021-W10","1 900"
"Viinikanlahti","2021-03-14","2021-W10","152"
"Aggregated","2021-03-07","2021-W09","3 082"
"Alakorkalo","2021-03-07","2021-W09","9"
"Alheda","2021-03-07","2021-W09",".."
"Kakolanmäki","2021-03-07","2021-W09","403"
"Kuhasalo","2021-03-07","2021-W09","6"
"Lehtoniemi","2021-03-07","2021-W09","17"
"Luotsinmäki","2021-03-07","2021-W09","36"
"Mäkikylä","2021-03-07","2021-W09",".."
"Nenäinniemi","2021-03-07","2021-W09","46"
"Paroinen","2021-03-07","2021-W09","19"
"Pått","2021-03-07","2021-W09","36"
"Seinäjoenkeskuspuhdistamo","2021-03-07","2021-W09","15"
"Suomenoja","2021-03-07","2021-W09","677"
"Taskila","2021-03-07","2021-W09","76"
"Toikansuo","2021-03-07","2021-W09","60"
"Viikinmäki","2021-03-07","2021-W09","1 704"
"Viinikanlahti","2021-03-07","2021-W09","117"
"Aggregated","2021-02-28","2021-W08","2 738"
"Alakorkalo","2021-02-28","2021-W08","13"
"Alheda","2021-02-28","2021-W08",".."
"Kakolanmäki","2021-02-28","2021-W08","307"
"Kuhasalo","2021-02-28","2021-W08","18"
"Lehtoniemi","2021-02-28","2021-W08","10"
"Luotsinmäki","2021-02-28","2021-W08","40"
"Mäkikylä","2021-02-28","2021-W08","13"
"Nenäinniemi","2021-02-28","2021-W08","58"
"Paroinen","2021-02-28","2021-W08","24"
"Pått","2021-02-28","2021-W08","55"
"Seinäjoenkeskuspuhdistamo","2021-02-28","2021-W08","8"
"Suomenoja","2021-02-28","2021-W08","612"
"Taskila","2021-02-28","2021-W08","82"
"Toikansuo","2021-02-28","2021-W08","43"
"Viikinmäki","2021-02-28","2021-W08","1 541"
"Viinikanlahti","2021-02-28","2021-W08","56"
"Aggregated","2021-02-21","2021-W07","2 312"
"Alakorkalo","2021-02-21","2021-W07","8"
"Alheda","2021-02-21","2021-W07","6"
"Kakolanmäki","2021-02-21","2021-W07","278"
"Kuhasalo","2021-02-21","2021-W07","24"
"Lehtoniemi","2021-02-21","2021-W07","5"
"Luotsinmäki","2021-02-21","2021-W07","29"
"Mäkikylä","2021-02-21","2021-W07","7"
"Nenäinniemi","2021-02-21","2021-W07","38"
"Paroinen","2021-02-21","2021-W07","14"
"Pått","2021-02-21","2021-W07","47"
"Seinäjoenkeskuspuhdistamo","2021-02-21","2021-W07","7"
"Suomenoja","2021-02-21","2021-W07","472"
"Taskila","2021-02-21","2021-W07","43"
"Toikansuo","2021-02-21","2021-W07","49"
"Viikinmäki","2021-02-21","2021-W07","1 366"
"Viinikanlahti","2021-02-21","2021-W07","41"
"Aggregated","2021-02-14","2021-W06","1 848"
"Alakorkalo","2021-02-14","2021-W06","10"
"Alheda","2021-02-14","2021-W06","6"
"Kakolanmäki","2021-02-14","2021-W06","155"
"Kuhasalo","2021-02-14","2021-W06","12"
"Lehtoniemi","2021-02-14","2021-W06",".."
"Luotsinmäki","2021-02-14","2021-W06","41"
"Mäkikylä","2021-02-14","2021-W06","15"
"Nenäinniemi","2021-02-14","2021-W06","68"
"Paroinen","2021-02-14","2021-W06","12"
"Pått","2021-02-14","2021-W06","74"
"Seinäjoenkeskuspuhdistamo","2021-02-14","2021-W06","6"
"Suomenoja","2021-02-14","2021-W06","411"
"Taskila","2021-02-14","2021-W06","31"
"Toikansuo","2021-02-14","2021-W06","11"
"Viikinmäki","2021-02-14","2021-W06","1 072"
"Viinikanlahti","2021-02-14","2021-W06","22"
"Aggregated","2021-02-07","2021-W05","1 840"
"Alakorkalo","2021-02-07","2021-W05","7"
"Alheda","2021-02-07","2021-W05","11"
"Kakolanmäki","2021-02-07","2021-W05","173"
"Kuhasalo","2021-02-07","2021-W05","8"
"Lehtoniemi","2021-02-07","2021-W05","13"
"Luotsinmäki","2021-02-07","2021-W05","14"
"Mäkikylä","2021-02-07","2021-W05","12"
"Nenäinniemi","2021-02-07","2021-W05","121"
"Paroinen","2021-02-07","2021-W05","13"
"Pått","2021-02-07","2021-W05","63"
"Seinäjoenkeskuspuhdistamo","2021-02-07","2021-W05",".."
"Suomenoja","2021-02-07","2021-W05","377"
"Taskila","2021-02-07","2021-W05","43"
"Toikansuo","2021-02-07","2021-W05","9"
"Viikinmäki","2021-02-07","2021-W05","988"
"Viinikanlahti","2021-02-07","2021-W05","54"
"Aggregated","2021-01-31","2021-W04","1 796"
"Alakorkalo","2021-01-31","2021-W04","8"
"Alheda","2021-01-31","2021-W04","12"
"Kakolanmäki","2021-01-31","2021-W04","205"
"Kuhasalo","2021-01-31","2021-W04","6"
"Lehtoniemi","2021-01-31","2021-W04","32"
"Luotsinmäki","2021-01-31","2021-W04",".."
"Mäkikylä","2021-01-31","2021-W04","19"
"Nenäinniemi","2021-01-31","2021-W04","180"
"Paroinen","2021-01-31","2021-W04","20"
"Pått","2021-01-31","2021-W04","43"
"Seinäjoenkeskuspuhdistamo","2021-01-31","2021-W04","12"
"Suomenoja","2021-01-31","2021-W04","337"
"Taskila","2021-01-31","2021-W04","67"
"Toikansuo","2021-01-31","2021-W04","6"
"Viikinmäki","2021-01-31","2021-W04","830"
"Viinikanlahti","2021-01-31","2021-W04","96"
"Aggregated","2021-01-24","2021-W03","1 647"
"Alakorkalo","2021-01-24","2021-W03","8"
"Alheda","2021-01-24","2021-W03","14"
"Kakolanmäki","2021-01-24","2021-W03","189"
"Kuhasalo","2021-01-24","2021-W03","26"
"Lehtoniemi","2021-01-24","2021-W03","64"
"Luotsinmäki","2021-01-24","2021-W03","8"
"Mäkikylä","2021-01-24","2021-W03","36"
"Nenäinniemi","2021-01-24","2021-W03","59"
"Paroinen","2021-01-24","2021-W03","18"
"Pått","2021-01-24","2021-W03","21"
"Seinäjoenkeskuspuhdistamo","2021-01-24","2021-W03",".."
"Suomenoja","2021-01-24","2021-W03","373"
"Taskila","2021-01-24","2021-W03","103"
"Toikansuo","2021-01-24","2021-W03","9"
"Viikinmäki","2021-01-24","2021-W03","753"
"Viinikanlahti","2021-01-24","2021-W03","59"
"Aggregated","2021-01-17","2021-W02","1 192"
"Alakorkalo","2021-01-17","2021-W02",".."
"Alheda","2021-01-17","2021-W02","12"
"Kakolanmäki","2021-01-17","2021-W02","163"
"Kuhasalo","2021-01-17","2021-W02","13"
"Lehtoniemi","2021-01-17","2021-W02","50"
"Luotsinmäki","2021-01-17","2021-W02","8"
"Mäkikylä","2021-01-17","2021-W02","23"
"Nenäinniemi","2021-01-17","2021-W02","16"
"Paroinen","2021-01-17","2021-W02","14"
"Pått","2021-01-17","2021-W02","26"
"Seinäjoenkeskuspuhdistamo","2021-01-17","2021-W02","16"
"Suomenoja","2021-01-17","2021-W02","240"
"Taskila","2021-01-17","2021-W02","84"
"Toikansuo","2021-01-17","2021-W02","5"
"Viikinmäki","2021-01-17","2021-W02","531"
"Viinikanlahti","2021-01-17","2021-W02","69"
"Aggregated","2021-01-10","2021-W01","1 289"
"Alakorkalo","2021-01-10","2021-W01","10"
"Alheda","2021-01-10","2021-W01","13"
"Kakolanmäki","2021-01-10","2021-W01","168"
"Kuhasalo","2021-01-10","2021-W01","6"
"Lehtoniemi","2021-01-10","2021-W01","19"
"Luotsinmäki","2021-01-10","2021-W01","10"
"Mäkikylä","2021-01-10","2021-W01","31"
"Nenäinniemi","2021-01-10","2021-W01","25"
"Paroinen","2021-01-10","2021-W01","42"
"Pått","2021-01-10","2021-W01","27"
"Seinäjoenkeskuspuhdistamo","2021-01-10","2021-W01",".."
"Suomenoja","2021-01-10","2021-W01","260"
