"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Toikansuo","2022-12-25","2022-W51","150"
"Viikinmäki","2022-12-25","2022-W51","999"
"Viinikanlahti","2022-12-25","2022-W51","227"
"Aggregated","2022-12-18","2022-W50","4 082"
"Alakorkalo","2022-12-18","2022-W50","51"
"Alheda","2022-12-18","2022-W50","68"
"Kakolanmäki","2022-12-18","2022-W50","580"
"Kuhasalo","2022-12-18","2022-W50","187"
"Lehtoniemi","2022-12-18","2022-W50","183"
"Luotsinmäki","2022-12-18","2022-W50","307"
"Mäkikylä","2022-12-18","2022-W50","182"
"Nenäinniemi","2022-12-18","2022-W50","262"
"Paroinen","2022-12-18","2022-W50","129"
"Pått","2022-12-18","2022-W50","142"
"Seinäjoenkeskuspuhdistamo","2022-12-18","2022-W50","81"
"Suomenoja","2022-12-18","2022-W50","618"
"Taskila","2022-12-18","2022-W50","370"
"Toikansuo","2022-12-18","2022-W50","186"
"Viikinmäki","2022-12-18","2022-W50","1 434"
"Viinikanlahti","2022-12-18","2022-W50","307"
"Aggregated","2022-12-11","2022-W49","4 861"
"Alakorkalo","2022-12-11","2022-W49","69"
"Alheda","2022-12-11","2022-W49","75"
"Kakolanmäki","2022-12-11","2022-W49","633"
"Kuhasalo","2022-12-11","2022-W49","217"
"Lehtoniemi","2022-12-11","2022-W49","203"
"Luotsinmäki","2022-12-11","2022-W49","267"
"Mäkikylä","2022-12-11","2022-W49","220"
"Nenäinniemi","2022-12-11","2022-W49","316"
"Paroinen","2022-12-11","2022-W49","129"
"Pått","2022-12-11","2022-W49","170"
"Seinäjoenkeskuspuhdistamo","2022-12-11","2022-W49","122"
"Suomenoja","2022-12-11","2022-W49","798"
"Taskila","2022-12-11","2022-W49","515"
"Toikansuo","2022-12-11","2022-W49","187"
"Viikinmäki","2022-12-11","2022-W49","1 648"
"Viinikanlahti","2022-12-11","2022-W49","360"
"Aggregated","2022-12-04","2022-W48","4 867"
"Alakorkalo","2022-12-04","2022-W48","80"
"Alheda","2022-12-04","2022-W48","78"
"Kakolanmäki","2022-12-04","2022-W48","637"
"Kuhasalo","2022-12-04","2022-W48","255"
"Lehtoniemi","2022-12-04","2022-W48","206"
"Luotsinmäki","2022-12-04","2022-W48","348"
"Mäkikylä","2022-12-04","2022-W48","169"
"Nenäinniemi","2022-12-04","2022-W48","233"
"Paroinen","2022-12-04","2022-W48","138"
"Pått","2022-12-04","2022-W48","188"
"Seinäjoenkeskuspuhdistamo","2022-12-04","2022-W48","100"
"Suomenoja","2022-12-04","2022-W48","821"
"Taskila","2022-12-04","2022-W48","489"
"Toikansuo","2022-12-04","2022-W48","207"
"Viikinmäki","2022-12-04","2022-W48","1 683"
"Viinikanlahti","2022-12-04","2022-W48","353"
"Aggregated","2022-11-27","2022-W47","4 697"
"Alakorkalo","2022-11-27","2022-W47","80"
"Alheda","2022-11-27","2022-W47","92"
"Kakolanmäki","2022-11-27","2022-W47","571"
"Kuhasalo","2022-11-27","2022-W47","325"
"Lehtoniemi","2022-11-27","2022-W47","267"
"Luotsinmäki","2022-11-27","2022-W47","243"
"Mäkikylä","2022-11-27","2022-W47","147"
"Nenäinniemi","2022-11-27","2022-W47","262"
"Paroinen","2022-11-27","2022-W47","150"
"Pått","2022-11-27","2022-W47","161"
"Seinäjoenkeskuspuhdistamo","2022-11-27","2022-W47","103"
"Suomenoja","2022-11-27","2022-W47","727"
"Taskila","2022-11-27","2022-W47","538"
"Toikansuo","2022-11-27","2022-W47","196"
"Viikinmäki","2022-11-27","2022-W47","1 523"
"Viinikanlahti","2022-11-27","2022-W47","323"
"Aggregated","2022-11-20","2022-W46","4 671"
"Alakorkalo","2022-11-20","2022-W46","65"
"Alheda","2022-11-20","2022-W46","98"
"Kakolanmäki","2022-11-20","2022-W46","582"
"Kuhasalo","2022-11-20","2022-W46","301"
"Lehtoniemi","2022-11-20","2022-W46","325"
"Luotsinmäki","2022-11-20","2022-W46","277"
"Mäkikylä","2022-11-20","2022-W46","149"
"Nenäinniemi","2022-11-20","2022-W46","248"
