"Date of sample","Treatment plant","Location of treatment plant","Number of residents","Inflow","Method","Uncertainties","Coronavirus result from the sample","Normalized RNA count"
"2023-07-03","Aggregated","Aggregated","","","qPCR C","","","43407"
"2023-07-03","Blominmäki","Espoo","390000","73576","qPCR C","(b)","Detected","34325"
"2023-07-03","Viikinmäki","Helsinki","910000","233527","qPCR C","(b)","Detected","43016"
"2023-07-03","Kuhasalo","Joensuu","98000","15181","qPCR C","(b)","Detected","25256"
"2023-07-03","Nenäinniemi","Jyväskylä","154600","31248","qPCR C","(b)","Detected","46163"
"2023-07-03","Lehtoniemi","Kuopio","95400","17599","qPCR C","(b)","Detected","31742"
"2023-07-03","Viinikanlahti","Tampere","200000","86620","qPCR C","(b)","Detected","48779"
"2023-07-03","Kakolanmäki","Turku","300000","55635","qPCR C","(b)","Detected","50650"
"2023-06-26","Aggregated","Aggregated","","","qPCR C","","","33197"
"2023-06-26","Blominmäki","Espoo","390000","63393","qPCR C","","Detected","29574"
"2023-06-26","Viikinmäki","Helsinki","910000","182572","qPCR C","","Detected","39262"
"2023-06-26","Kuhasalo","Joensuu","98000","15964","qPCR C","b","Detected","26063"
"2023-06-26","Nenäinniemi","Jyväskylä","154600","29919","qPCR C","","Detected","50370"
"2023-06-26","Lehtoniemi","Kuopio","95400","10809","qPCR C","","Detected","19495"
"2023-06-26","Toikansuo","Lappeenranta","63000","11976","qPCR C","a","Detected","23569"
"2023-06-26","Taskila","Oulu","200000","39279","qPCR C","","Detected","19164"
"2023-06-26","Alakorkalo","Rovaniemi","55000","10101","qPCR C","c","Detected","25256"
"2023-06-26","Viinikanlahti","Tampere","200000","50041","qPCR C","","Detected","28180"
"2023-06-26","Kakolanmäki","Turku","300000","44956","qPCR C","","Detected","41708"
"2023-06-26","Pått","Vaasa","69500","11623","qPCR C","b","Detected","7035"
"2023-06-20","Pått","Vaasa","69500","14593","qPCR C","","Detected","8462"
"2023-06-19","Aggregated","Aggregated","","","qPCR C","","","42573"
"2023-06-19","Blominmäki","Espoo","390000","71989","qPCR C","","Detected","46209"
"2023-06-19","Viikinmäki","Helsinki","910000","197829","qPCR C","","Detected","47583"
"2023-06-19","Kuhasalo","Joensuu","98000","14360","qPCR C","","Detected","15091"
"2023-06-19","Nenäinniemi","Jyväskylä","154600","32409","qPCR C","","Detected","82673"
"2023-06-19","Lehtoniemi","Kuopio","95400","12154","qPCR C","","Detected","10463"
"2023-06-19","Taskila","Oulu","200000","43286","qPCR C","","Detected","33077"
"2023-06-19","Viinikanlahti","Tampere","200000","53461","qPCR C","","Detected","55856"
"2023-06-19","Kakolanmäki","Turku","300000","51851","qPCR C","","Detected","51940"
"2023-06-12","Aggregated","Aggregated","","","qPCR C","","","29086"
"2023-06-12","Blominmäki","Espoo","390000","110189","qPCR C","","Detected","103792"
"2023-06-12","Viikinmäki","Helsinki","910000","206201","qPCR C","","Detected","28292"
"2023-06-12","Kuhasalo","Joensuu","98000","14579","qPCR C","","Detected","16399"
"2023-06-12","Nenäinniemi","Jyväskylä","154600","33093","qPCR C","","Detected","41425"
"2023-06-12","Lehtoniemi","Kuopio","95400","12983","qPCR C","","Detected","28009"
"2023-06-12","Taskila","Oulu","200000","45262","qPCR C","","Detected","36442"
"2023-06-12","Viinikanlahti","Tampere","200000","60467","qPCR C","","Detected","37260"
"2023-06-12","Kakolanmäki","Turku","300000","53390","qPCR C","","Detected","29547"
"2023-06-12","Pått","Vaasa","69500","14365","qPCR C","","Detected","12164"
"2023-06-05","Aggregated","Aggregated","","","qPCR C","","","55332"
"2023-06-05","Blominmäki","Espoo","390000","76994","qPCR C","","Detected","55140"
"2023-06-05","Viikinmäki","Helsinki","910000","212468","qPCR C","","Detected","47185"
"2023-06-05","Kuhasalo","Joensuu","98000","15623","qPCR C","","Detected","27922"
"2023-06-05","Nenäinniemi","Jyväskylä","154600","37968","qPCR C","","Detected","60988"
"2023-06-05","Lehtoniemi","Kuopio","95400","20916","qPCR C","","Detected","52738"
"2023-06-05","Taskila","Oulu","200000","49697","qPCR C","","Detected","130054"
"2023-06-05","Viinikanlahti","Tampere","200000","62549","qPCR C","a","Detected","81837"
"2023-06-05","Kakolanmäki","Turku","300000","56248","qPCR C","","Detected","30858"
"2023-06-05","Pått","Vaasa","69500","14969","qPCR C","","Detected","18555"
"2023-05-29","Aggregated","Aggregated","","","qPCR C","","","40389"
"2023-05-29","Blominmäki","Espoo","390000","80599","qPCR C","","Detected","29771"
"2023-05-29","Viikinmäki","Helsinki","910000","217163","qPCR C","","Detected","45400"
"2023-05-29","Kuhasalo","Joensuu","98000","16515","qPCR C","","Detected","27915"
"2023-05-29","Nenäinniemi","Jyväskylä","154600","36366","qPCR C","","Detected","39456"
"2023-05-29","Lehtoniemi","Kuopio","95400","21777","qPCR C","","Detected","30801"
"2023-05-29","Taskila","Oulu","200000","50489","qPCR C","","Detected","40152"
"2023-05-29","Viinikanlahti","Tampere","200000","67532","qPCR C","","Detected","45388"
"2023-05-29","Kakolanmäki","Turku","300000","58304","qPCR C","","Detected","36974"
"2023-05-29","Pått","Vaasa","69500","16367","qPCR C","","Detected","6578"
"2023-05-22","Aggregated","Aggregated","","","qPCR C","","","69370"
"2023-05-22","Blominmäki","Espoo","390000","80582","qPCR C","","Detected","68735"
"2023-05-22","Viikinmäki","Helsinki","910000","217519","qPCR C","","Detected","54414"
"2023-05-22","Kuhasalo","Joensuu","98000","18138","qPCR C","","Detected","55200"
"2023-05-22","Nenäinniemi","Jyväskylä","154600","36573","qPCR C","","Detected","113133"
"2023-05-22","Lehtoniemi","Kuopio","95400","19190","qPCR C","","Detected","59779"
"2023-05-22","Toikansuo","Lappeenranta","63000","14496","qPCR C","","Detected","43756"
"2023-05-22","Taskila","Oulu","200000","52625","qPCR C","","Detected","106885"
"2023-05-22","Alakorkalo","Rovaniemi","55000","20427","qPCR C","","Detected","147564"
"2023-05-22","Viinikanlahti","Tampere","200000","63907","qPCR C","","Detected","79603"
"2023-05-22","Kakolanmäki","Turku","300000","60950","qPCR C","","Detected","83839"
"2023-05-22","Pått","Vaasa","69500","17528","qPCR C","","Detected","36590"
"2023-05-15","Aggregated","Aggregated","","","qPCR C","","","104964"
"2023-05-15","Blominmäki","Espoo","390000","86703","qPCR C","","Detected","152523"
"2023-05-15","Viikinmäki","Helsinki","910000","230217","qPCR C","","Detected","107116"
"2023-05-15","Kuhasalo","Joensuu","98000","20188","qPCR C","","Detected","107594"
"2023-05-15","Nenäinniemi","Jyväskylä","154600","41516","qPCR C","","Detected","137666"
"2023-05-15","Lehtoniemi","Kuopio","95400","19607","qPCR C","","Detected","48453"
"2023-05-15","Taskila","Oulu","200000","53717","qPCR C","","Detected","95023"
"2023-05-15","Viinikanlahti","Tampere","200000","68242","qPCR C","","Detected","127171"
"2023-05-15","Kakolanmäki","Turku","300000","64962","qPCR C","","Detected","119917"
"2023-05-15","Pått","Vaasa","69500","17607","qPCR C","","Detected","50800"
"2023-05-08","Aggregated","Aggregated","","","qPCR C","","","131654"
"2023-05-08","Blominmäki","Espoo","390000","92510","qPCR C","c","Detected","102766"
"2023-05-08","Viikinmäki","Helsinki","910000","244291","qPCR C","","Detected","135390"
"2023-05-08","Kuhasalo","Joensuu","98000","24641","qPCR C","","Detected","121268"
"2023-05-08","Nenäinniemi","Jyväskylä","154600","49287","qPCR C","","Detected","305608"
"2023-05-08","Lehtoniemi","Kuopio","95400","25133","qPCR C","","Detected","159675"
"2023-05-08","Taskila","Oulu","200000","56605","qPCR C","","Detected","195383"
"2023-05-08","Viinikanlahti","Tampere","200000","74856","qPCR C","","Detected","154735"
"2023-05-08","Kakolanmäki","Turku","300000","74223","qPCR C","","Detected","58874"
"2023-05-08","Pått","Vaasa","69500","20371","qPCR C","","Detected","123261"
"2023-05-02","Blominmäki","Espoo","390000","93537","qPCR C","","Detected","194912"
"2023-05-02","Viikinmäki","Helsinki","910000","265268","qPCR C","","Detected","144388"
"2023-05-02","Kuhasalo","Joensuu","98000","28263","qPCR C","","Detected","125856"
"2023-05-02","Nenäinniemi","Jyväskylä","154600","61500","qPCR C","","Detected","338988"
"2023-05-02","Lehtoniemi","Kuopio","95400","26579","qPCR C","","Detected","199153"
"2023-05-02","Taskila","Oulu","200000","69692","qPCR C","","Detected","147285"
"2023-05-02","Viinikanlahti","Tampere","200000","77363","qPCR C","","Detected","307816"
"2023-05-02","Kakolanmäki","Turku","300000","71247","qPCR C","","Detected","201770"
"2023-05-02","Pått","Vaasa","69500","25612","qPCR C","","Detected","154068"
"2023-05-01","Aggregated","Aggregated","","","qPCR C","","","173520"
"2023-04-24","Aggregated","Aggregated","","","qPCR C","","","208037"
"2023-04-24","Blominmäki","Espoo","390000","97194","qPCR C","","Detected","176611"
"2023-04-24","Viikinmäki","Helsinki","910000","263990","qPCR C","","Detected","195425"
"2023-04-24","Kuhasalo","Joensuu","98000","31005","qPCR C","","Detected","173056"
"2023-04-24","Nenäinniemi","Jyväskylä","154600","56727","qPCR C","","Detected","231247"
"2023-04-24","Lehtoniemi","Kuopio","95400","31455","qPCR C","","Detected","232286"
"2023-04-24","Taskila","Oulu","200000","59002","qPCR C","","Detected","177450"
"2023-04-24","Alakorkalo","Rovaniemi","55000","21897","qPCR C","","Detected","265339"
"2023-04-24","Viinikanlahti","Tampere","200000","84335","qPCR C","","Detected","235167"
"2023-04-24","Kakolanmäki","Turku","300000","76401","qPCR C","","Detected","257154"
"2023-04-24","Pått","Vaasa","69500","28181","qPCR C","","Detected","141786"
"2023-04-17","Aggregated","Aggregated","","","qPCR C","","","149270"
"2023-04-17","Blominmäki","Espoo","390000","109521","qPCR C","","Detected","148480"
"2023-04-17","Viikinmäki","Helsinki","910000","277954","qPCR C","","Detected","103522"
"2023-04-17","Kuhasalo","Joensuu","98000","24959","qPCR C","","Detected","158797"
"2023-04-17","Nenäinniemi","Jyväskylä","154600","52401","qPCR C","","Detected","225187"
"2023-04-17","Lehtoniemi","Kuopio","95400","23042","qPCR C","","Detected","235301"
"2023-04-17","Toikansuo","Lappeenranta","63000","22349","qPCR C","","Detected","120299"
"2023-04-17","Taskila","Oulu","200000","50696","qPCR C","","Detected","140310"
"2023-04-17","Alakorkalo","Rovaniemi","55000","15897","qPCR C","","Detected","265683"
"2023-04-17","Viinikanlahti","Tampere","200000","66973","qPCR C","","Detected","133082"
"2023-04-17","Kakolanmäki","Turku","300000","93444","qPCR C","","Detected","249123"
"2023-04-17","Pått","Vaasa","69500","30307","qPCR C","","Detected","165969"
"2023-04-11","Blominmäki","Espoo","390000","115124","qPCR C","","Detected","267257"
"2023-04-11","Viikinmäki","Helsinki","910000","289713","qPCR C","","Detected","205412"
"2023-04-11","Kuhasalo","Joensuu","98000","23418","qPCR C","","Detected","256297"
"2023-04-11","Nenäinniemi","Jyväskylä","154600","49298","qPCR C","","Detected","284160"
"2023-04-11","Lehtoniemi","Kuopio","95400","20520","qPCR C","","Detected","368670"
"2023-04-11","Taskila","Oulu","200000","50233","qPCR C","","Detected","194733"
"2023-04-11","Alakorkalo","Rovaniemi","55000","14638","qPCR C","","Detected","259815"
"2023-04-11","Viinikanlahti","Tampere","200000","56347","qPCR C","","Detected","266583"
"2023-04-11","Kakolanmäki","Turku","300000","120362","qPCR C","","Detected","277718"
"2023-04-11","Pått","Vaasa","69500","26238","qPCR C","","Detected","150189"
"2023-04-10","Aggregated","Aggregated","","","qPCR C","","","232128"
"2023-04-03","Aggregated","Aggregated","","","qPCR C","","","65304"
"2023-04-03","Blominmäki","Espoo","390000","121076","qPCR C","","Detected","42119"
"2023-04-03","Viikinmäki","Helsinki","910000","313194","qPCR C","","Detected","51784"
"2023-04-03","Kuhasalo","Joensuu","98000","16472","qPCR C","","Detected","29288"
"2023-04-03","Nenäinniemi","Jyväskylä","154600","36627","qPCR C","","Detected","61403"
"2023-04-03","Lehtoniemi","Kuopio","95400","16605","qPCR C","","Detected","91525"
"2023-04-03","Taskila","Oulu","200000","42782","qPCR C","","Detected","46993"
"2023-04-03","Alakorkalo","Rovaniemi","55000","12359","qPCR C","","Detected","84783"
"2023-04-03","Viinikanlahti","Tampere","200000","70505","qPCR C","(b)","Detected","143834"
"2023-04-03","Kakolanmäki","Turku","300000","95640","qPCR C","","Detected","71650"
"2023-04-03","Pått","Vaasa","69500","16215","qPCR C","","Detected","41015"
"2023-03-27","Aggregated","Aggregated","","","qPCR C","","","211840"
"2023-03-27","Blominmäki","Espoo","390000","248320","qPCR C","","Detected","474368"
"2023-03-27","Viikinmäki","Helsinki","910000","505925","qPCR C","","Detected","103808"
"2023-03-27","Kuhasalo","Joensuu","98000","18269","qPCR C","","Detected","55857"
"2023-03-27","Nenäinniemi","Jyväskylä","154600","36939","qPCR C","","Detected","359152"
"2023-03-27","Lehtoniemi","Kuopio","95400","16319","qPCR C","","Detected","193402"
"2023-03-27","Taskila","Oulu","200000","39844","qPCR C","","Detected","239429"
"2023-03-27","Alakorkalo","Rovaniemi","55000","12164","qPCR C","","Detected","24941"
"2023-03-27","Viinikanlahti","Tampere","200000","86964","qPCR C","","Detected","239119"
"2023-03-27","Kakolanmäki","Turku","300000","166557","qPCR C","","Detected","614383"
"2023-03-27","Pått","Vaasa","69500","16146","qPCR C","","Detected","124044"
"2023-03-20","Aggregated","Aggregated","","","qPCR C","","","98413"
"2023-03-20","Blominmäki","Espoo","390000","141491","qPCR C","","Detected","116327"
"2023-03-20","Viikinmäki","Helsinki","910000","354685","qPCR C","","Detected","94667"
"2023-03-20","Kuhasalo","Joensuu","98000","15628","qPCR C","","Detected","39242"
"2023-03-20","Nenäinniemi","Jyväskylä","154600","34698","qPCR C","","Detected","91026"
"2023-03-20","Lehtoniemi","Kuopio","95400","15560","qPCR C","","Detected","61943"
"2023-03-20","Taskila","Oulu","200000","43353","qPCR C","","Detected","69824"
"2023-03-20","Alakorkalo","Rovaniemi","55000","12136","qPCR C","","Detected","158718"
"2023-03-20","Viinikanlahti","Tampere","200000","66707","qPCR C","","Detected","97745"
"2023-03-20","Kakolanmäki","Turku","300000","127973","qPCR C","","Detected","151908"
"2023-03-20","Pått","Vaasa","69500","15539","qPCR C","","Detected","86511"
"2023-03-13","Aggregated","Aggregated","","","qPCR C","","","141226"
"2023-03-13","Blominmäki","Espoo","390000","88533","qPCR C","","Detected","130436"
"2023-03-13","Viikinmäki","Helsinki","910000","241429","qPCR C","","Detected","134227"
"2023-03-13","Kuhasalo","Joensuu","98000","14047","qPCR C","","Detected","130751"
"2023-03-13","Nenäinniemi","Jyväskylä","154600","34480","qPCR C","","Detected","117106"
"2023-03-13","Lehtoniemi","Kuopio","95400","14530","qPCR C","","Detected","97496"
"2023-03-13","Taskila","Oulu","200000","41191","qPCR C","","Detected","75913"
"2023-03-13","Alakorkalo","Rovaniemi","55000","12197","qPCR C","","Detected","131337"
"2023-03-13","Viinikanlahti","Tampere","200000","65355","qPCR C","","Detected","227648"
"2023-03-13","Kakolanmäki","Turku","300000","64382","qPCR C","","Detected","185069"
"2023-03-13","Pått","Vaasa","69500","14192","qPCR C","","Detected","65496"
"2023-03-06","Aggregated","Aggregated","","","qPCR C","","","95377"
"2023-03-06","Blominmäki","Espoo","390000","95132","qPCR C","","Detected","58670"
"2023-03-06","Viikinmäki","Helsinki","910000","256969","qPCR C","","Detected","99658"
"2023-03-06","Kuhasalo","Joensuu","98000","13885","qPCR C","","Detected","30858"
"2023-03-06","Nenäinniemi","Jyväskylä","154600","33096","qPCR C","","Detected","113107"
"2023-03-06","Lehtoniemi","Kuopio","95400","14502","qPCR C","","Detected","101890"
"2023-03-06","Taskila","Oulu","200000","42359","qPCR C","","Detected","44960"
"2023-03-06","Alakorkalo","Rovaniemi","55000","11871","qPCR C","","Detected","253048"
"2023-03-06","Viinikanlahti","Tampere","200000","60244","qPCR C","","Detected","121320"
"2023-03-06","Kakolanmäki","Turku","300000","72946","qPCR C","","Detected","99448"
"2023-03-06","Pått","Vaasa","69500","14813","qPCR C","","Detected","49448"
"2023-02-27","Aggregated","Aggregated","","","qPCR C","","","49848"
"2023-02-27","Blominmäki","Espoo","390000","95373","qPCR C","b","Detected","21694"
"2023-02-27","Viikinmäki","Helsinki","910000","251900","qPCR C","","Detected","54018"
"2023-02-27","Kuhasalo","Joensuu","98000","14516","qPCR C","","Detected","14377"
"2023-02-27","Nenäinniemi","Jyväskylä","154600","34850","qPCR C","","Detected","40611"
"2023-02-27","Lehtoniemi","Kuopio","95400","14502","qPCR C","","Detected","15353"
"2023-02-27","Taskila","Oulu","200000","44631","qPCR C","","Detected","34204"
"2023-02-27","Alakorkalo","Rovaniemi","55000","12284","qPCR C","b","Detected","36993"
"2023-02-27","Viinikanlahti","Tampere","200000","65059","qPCR C","","Detected","117879"
"2023-02-27","Kakolanmäki","Turku","300000","65831","qPCR C","b","Detected","33615"
"2023-02-27","Pått","Vaasa","69500","13749","qPCR C","","Detected","22088"
"2023-02-20","Aggregated","Aggregated","","","qPCR C","","","121134"
"2023-02-20","Blominmäki","Espoo","390000","111529","qPCR C","","Detected","88363"
"2023-02-20","Viikinmäki","Helsinki","910000","288701","qPCR C","","Detected","140966"
"2023-02-20","Kuhasalo","Joensuu","98000","14280","qPCR C","","Detected","19835"
"2023-02-20","Nenäinniemi","Jyväskylä","154600","34965","qPCR C","","Detected","97004"
"2023-02-20","Lehtoniemi","Kuopio","95400","15610","qPCR C","","Detected","44331"
"2023-02-20","Toikansuo","Lappeenranta","63000","11651","qPCR C","","Detected","56875"
"2023-02-20","Taskila","Oulu","200000","45658","qPCR C","","Detected","64691"
"2023-02-20","Alheda","Jakobstad","30500","6795","qPCR C","","Detected","10135"
"2023-02-20","Alakorkalo","Rovaniemi","55000","12336","qPCR C","","Detected","121520"
"2023-02-20","Seinäjoenkeskuspuhdistamo","Seinäjoki","55000","14872","qPCR C","","Detected","138938"
"2023-02-20","Viinikanlahti","Tampere","200000","65406","qPCR C","","Detected","157922"
"2023-02-20","Kakolanmäki","Turku","300000","75441","qPCR C","","Detected","136646"
"2023-02-20","Pått","Vaasa","69500","15383","qPCR C","","Detected","99010"
"2023-02-13","Aggregated","Aggregated","","","qPCR C","","","32928"
"2023-02-13","Blominmäki","Espoo","390000","100470","qPCR C","","Detected","40497"
"2023-02-13","Viikinmäki","Helsinki","910000","261910","qPCR C","","Detected","33232"
"2023-02-13","Kuhasalo","Joensuu","98000","14527","qPCR C","c","Detected","11354"
"2023-02-13","Nenäinniemi","Jyväskylä","154600","35448","qPCR C","","Detected","62869"
"2023-02-13","Lehtoniemi","Kuopio","95400","15336","qPCR C","","Detected","39427"
"2023-02-13","Taskila","Oulu","200000","45519","qPCR C","","Detected","28192"
"2023-02-13","Alakorkalo","Rovaniemi","55000","12205","qPCR C","","Detected","40105"
"2023-02-13","Viinikanlahti","Tampere","200000","63537","qPCR C","","Detected","40995"
"2023-02-13","Kakolanmäki","Turku","300000","66298","qPCR C","","Detected","36258"
"2023-02-13","Pått","Vaasa","69500","16420","qPCR C","","Detected","20804"
"2023-02-06","Aggregated","Aggregated","","","qPCR C","","","83699"
"2023-02-06","Blominmäki","Espoo","390000","102709","qPCR C","","Detected","87627"
"2023-02-06","Viikinmäki","Helsinki","910000","277072","qPCR C","","Detected","72017"
"2023-02-06","Kuhasalo","Joensuu","98000","14449","qPCR C","","Detected","64913"
"2023-02-06","Nenäinniemi","Jyväskylä","154600","36446","qPCR C","","Detected","101232"
"2023-02-06","Lehtoniemi","Kuopio","95400","15227","qPCR C","","Detected","23592"
"2023-02-06","Taskila","Oulu","200000","45484","qPCR C","","Detected","64350"
"2023-02-06","Alakorkalo","Rovaniemi","55000","12024","qPCR C","","Detected","58902"
"2023-02-06","Viinikanlahti","Tampere","200000","64053","qPCR C","","Detected","253502"
"2023-02-06","Kakolanmäki","Turku","300000","70155","qPCR C","","Detected","57527"
"2023-02-06","Pått","Vaasa","69500","15701","qPCR C","","Detected","45280"
"2023-01-30","Aggregated","Aggregated","","","qPCR C","","","44867"
"2023-01-30","Blominmäki","Espoo","390000","139331","qPCR C","","Detected","55514"
"2023-01-30","Viikinmäki","Helsinki","910000","324756","qPCR C","","Detected","50317"
"2023-01-30","Kuhasalo","Joensuu","98000","15691","qPCR C","","Detected","24188"
"2023-01-30","Nenäinniemi","Jyväskylä","154600","37555","qPCR C","","Detected","47875"
"2023-01-30","Lehtoniemi","Kuopio","95400","15830","qPCR C","","Detected","16696"
"2023-01-30","Taskila","Oulu","200000","47757","qPCR C","","Detected","37279"
"2023-01-30","Alakorkalo","Rovaniemi","55000","12765","qPCR C","","Detected","105575"
"2023-01-30","Viinikanlahti","Tampere","200000","69424","qPCR C","","Detected","58421"
"2023-01-30","Kakolanmäki","Turku","300000","79761","qPCR C","","Detected","22488"
"2023-01-30","Pått","Vaasa","69500","16994","qPCR C","","Detected","72714"
"2023-01-23","Aggregated","Aggregated","","","qPCR C","","","54558"
"2023-01-23","Blominmäki","Espoo","390000","67072","qPCR C","(b)","Detected","37170"
"2023-01-23","Viikinmäki","Helsinki","910000","362795","qPCR C","","Detected","52073"
"2023-01-23","Kuhasalo","Joensuu","98000","15636","qPCR C","","Detected","85560"
"2023-01-23","Nenäinniemi","Jyväskylä","154600","37713","qPCR C","","Detected","96271"
"2023-01-23","Lehtoniemi","Kuopio","95400","16275","qPCR C","","Detected","95802"
"2023-01-23","Toikansuo","Lappeenranta","63000","12730","qPCR C","","Detected","30969"
"2023-01-23","Taskila","Oulu","200000","45067","qPCR C","","Detected","70478"
"2023-01-23","Alheda","Jakobstad","30500","7243","qPCR C","","Detected","16198"
"2023-01-23","Alakorkalo","Rovaniemi","55000","12292","qPCR C","","Detected","117514"
"2023-01-23","Seinäjoenkeskuspuhdistamo","Seinäjoki","55000","17939","qPCR C","","Detected","66463"
"2023-01-23","Viinikanlahti","Tampere","200000","75636","qPCR C","","Detected","50778"
"2023-01-23","Kakolanmäki","Turku","300000","100656","qPCR C","","Detected","19220"
"2023-01-16","Aggregated","Aggregated","","","qPCR C","","","61775"
"2023-01-16","Viikinmäki","Helsinki","910000","595564","qPCR C","","Detected","40348"
"2023-01-16","Kuhasalo","Joensuu","98000","17420","qPCR C","","Detected","80933"
"2023-01-16","Nenäinniemi","Jyväskylä","154600","44811","qPCR C","","Detected","90822"
"2023-01-16","Lehtoniemi","Kuopio","95400","17294","qPCR C","","Detected","59263"
"2023-01-16","Taskila","Oulu","200000","46915","qPCR C","","Detected","117625"
"2023-01-16","Alakorkalo","Rovaniemi","55000","11617","qPCR C","","Detected","18371"
"2023-01-16","Viinikanlahti","Tampere","200000","107239","qPCR C","a","Detected","45398"
"2023-01-16","Kakolanmäki","Turku","300000","227236","qPCR C","","Detected","105711"
"2023-01-16","Pått","Vaasa","69500","29627","qPCR C","","Detected","49883"
"2023-01-09","Aggregated","Aggregated","","","qPCR C","","","77508"
"2023-01-09","Viikinmäki","Helsinki","910000","246703","qPCR C","","Detected","71664"
"2023-01-09","Kuhasalo","Joensuu","98000","14027","qPCR C","","Detected","89370"
"2023-01-09","Nenäinniemi","Jyväskylä","154600","33119","qPCR C","","Detected","179168"
"2023-01-09","Lehtoniemi","Kuopio","95400","14492","qPCR C","","Detected","77590"
"2023-01-09","Taskila","Oulu","200000","40126","qPCR C","","Detected","58241"
"2023-01-09","Alakorkalo","Rovaniemi","55000","11738","qPCR C","","Detected","169337"
"2023-01-09","Viinikanlahti","Tampere","200000","59594","qPCR C","","Detected","97787"
"2023-01-09","Kakolanmäki","Turku","300000","74512","qPCR C","","Detected","74466"
"2023-01-09","Pått","Vaasa","69500","15126","qPCR C","","Detected","74748"
"2022-12-19","Aggregated","Aggregated","","","qPCR B","","","227079"
"2022-12-19","Viikinmäki","Helsinki","910000","224479","qPCR B","","Detected","172878"
"2022-12-19","Kuhasalo","Joensuu","98000","14404","qPCR B","","Detected","59785"
"2022-12-19","Nenäinniemi","Jyväskylä","154600","32530","qPCR B","","Detected","416092"
"2022-12-19","Lehtoniemi","Kuopio","95400","14298","qPCR B","","Detected","313948"
"2022-12-19","Taskila","Oulu","200000","43432","qPCR B","","Detected","82249"
"2022-12-19","Viinikanlahti","Tampere","200000","59526","qPCR B","","Detected","157009"
"2022-12-19","Kakolanmäki","Turku","300000","59117","qPCR B","","Detected","587503"
"2022-12-19","Pått","Vaasa","69500","13510","qPCR B","","Detected","116046"
"2022-12-12","Aggregated","Aggregated","","","qPCR B","","","353749"
"2022-12-12","Viikinmäki","Helsinki","910000","212473","qPCR B","b","Detected","356553"
"2022-12-12","Kuhasalo","Joensuu","98000","14870","qPCR B","b","Detected","232514"
"2022-12-12","Nenäinniemi","Jyväskylä","154600","32398","qPCR B","b","Detected","515979"
"2022-12-12","Lehtoniemi","Kuopio","95400","14861","qPCR B","b","Detected","225798"
"2022-12-12","Toikansuo","Lappeenranta","63000","15092","qPCR B","b","Detected","166115"
"2022-12-12","Taskila","Oulu","200000","43501","qPCR B","b","Detected","218566"
"2022-12-12","Alheda","Jakobstad","30500","8979","qPCR B","b","Detected","146185"
"2022-12-12","Alakorkalo","Rovaniemi","55000","12348","qPCR B","b","Detected","459851"
"2022-12-12","Seinäjoenkeskuspuhdistamo","Seinäjoki","55000","11845","qPCR B","b","Detected","240914"
"2022-12-12","Viinikanlahti","Tampere","200000","59940","qPCR B","b","Detected","318293"
"2022-12-12","Kakolanmäki","Turku","300000","55777","qPCR B","b","Detected","552858"
"2022-12-12","Pått","Vaasa","69500","13828","qPCR B","b","Detected","211240"
"2022-12-05","Aggregated","Aggregated","","","qPCR B","","","225458"
"2022-12-05","Viikinmäki","Helsinki","910000","210981","qPCR B","b","Detected","143254"
"2022-12-05","Kuhasalo","Joensuu","98000","14978","qPCR B","(a) b","Detected","235778"
"2022-12-05","Lehtoniemi","Kuopio","95400","15787","qPCR B","","Detected","759087"
"2022-12-05","Taskila","Oulu","200000","43044","qPCR B","a b","Detected","96113"
"2022-12-05","Viinikanlahti","Tampere","200000","59123","qPCR B","b","Detected","185327"
"2022-12-05","Kakolanmäki","Turku","300000","57772","qPCR B","","Detected","427210"
"2022-12-05","Pått","Vaasa","69500","14136","qPCR B","b","Detected","171578"
"2022-11-28","Aggregated","Aggregated","","","qPCR B","","","320844"
"2022-11-28","Viikinmäki","Helsinki","910000","204897","qPCR B","b","Detected","266231"
"2022-11-28","Kuhasalo","Joensuu","98000","15645","qPCR B","b","Detected","259439"
"2022-11-28","Nenäinniemi","Jyväskylä","154600","33634","qPCR B","","Detected","514733"
"2022-11-28","Lehtoniemi","Kuopio","95400","15547","qPCR B","b","Detected","397850"
"2022-11-28","Taskila","Oulu","200000","43989","qPCR B","b","Detected","196728"
"2022-11-28","Viinikanlahti","Tampere","200000","60233","qPCR B","b","Detected","339091"
"2022-11-28","Kakolanmäki","Turku","300000","59673","qPCR B","","Detected","593943"
"2022-11-28","Pått","Vaasa","69500","14946","qPCR B","b","Detected","142615"
"2022-11-21","Aggregated","Aggregated","","","qPCR B","","","267299"
"2022-11-21","Suomenoja","Espoo","390000","97042","qPCR B","b","Detected","262310"
"2022-11-21","Viikinmäki","Helsinki","910000","213383","qPCR B","b","Detected","175312"
"2022-11-21","Kuhasalo","Joensuu","98000","16476","qPCR B","b","Detected","222977"
"2022-11-21","Nenäinniemi","Jyväskylä","154600","35613","qPCR B","b","Detected","279590"
"2022-11-21","Lehtoniemi","Kuopio","95400","16079","qPCR B","","Detected","699276"
"2022-11-21","Toikansuo","Lappeenranta","63000","11914","qPCR B","b","Detected","399259"
"2022-11-21","Taskila","Oulu","200000","44643","qPCR B","b","Detected","250916"
"2022-11-21","Alheda","Jakobstad","30500","6942","qPCR B","b","Detected","157210"
"2022-11-21","Alakorkalo","Rovaniemi","55000","11932","qPCR B","b","Detected","490008"
